File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49
o1_gr_e06,A,0,0.15429674499999996,0.13119108163265303,0.1432651625708884,0.14920263444444437,0.25207319791666666,0.3130410697190428,1,0.13062132031249993,0.08313954249999991,0.153552822485207,0.14465873499999984,0.21775716493055547,0.2525945692520775,1,0.10217094082840222,0.08207703472222198,0.09886776923076918,0.12642215570934245,0.21487058049886615,0.2706216035156249,1,0.026556321799307843,0.042734792968749886,0.11694395061728387,0.101977791111111,0.17738138749999988,0.26016386777777767,1,0.08117301562499987,0.06463945703124989,0.08593804861111091,0.07831622485207086,0.088558488340192,0.18127645605468745,1,0.14444704166666653,0.09449173437499987,0.1508669999999998,0.12337969230769215,0.08794412037037026,0.14908559839999994,0.6653612031249999,0.1737372704081631,0.1056621890359167,0.14326148749999995,0.14579906122448974,0.12601052249134942,0.11129834079999991,0.8126945999999998
o1_gr_e07,A,0,0.054106363636363404,0.07397712110726626,0.19794607555555535,0.3116686399999999,0.3740692664359861,0.4262125817174513,1,0.08259904999999973,0.06904307716049368,0.11824463516068041,0.23234410749999987,0.32128011749999974,0.3816819896694214,1,0.1223377933884296,0.15095554320987628,0.13476642936288077,0.28377978200692033,0.3747889695290857,0.5513633598615917,1,0.06607429296874984,0.1851814320987652,0.13114681749999985,0.2705244764542935,0.39212329999999995,0.4783016342975206,1,0.11984730769230752,0.10812377854671268,0.1341701128472221,0.23375895679999992,0.3922357582644627,0.596572234567901,1,0.15141670833333312,0.15367476020408144,0.19147178393351794,0.31432477777777773,0.5153133611111109,0.9286006319444444,1,0.08443922569444436,0.12178093383742902,0.1384882474048442,0.2072388414901387,0.31020216349480956,1,1
o1_gr_e08,A,0,0.13210963888888871,0.17476833333333316,0.13023341666666668,0.28350290625,0.24814631999999998,0.34124586419753083,0.53760346875,0.05126040277777772,0.0736840902777778,0.08198083203124996,0.11265853906249997,0.15929197265625,0.17368325499999998,0.2928727734375,0.08060988888888898,0.08102023456790121,0.0975362152777777,0.14023392444444438,0.19915102734374993,0.25861289506172835,0.45899913609467446,0.022991754325259524,0.06918031404958666,0.09176580468749998,0.17414528906249999,0.24578541522491354,0.3420541211072664,0.646788909090909,0.08817181065088751,0.09073298979591836,0.09794949206349203,0.1737733832199546,0.23403436105860115,0.3337938458049887,1,0.11173540624999999,0.1454884792899408,0.14909410803324097,0.24661838781163428,0.42016401953124993,0.44437699999999997,1,0.1138391072,0.11371999039780523,0.11243263088642655,0.1761641334876543,0.25595584940312216,0.2839446444636678,1
o1_gr_e09,A,0,0.1239943801652891,0.14614663999999983,0.14061331249999992,0.22272453086419733,0.29763485937499984,0.2557447699999999,0.3605840909090908,0.07460812244897948,0.09321145833333325,0.11165761805555549,0.07902326757369606,0.1607418844444443,0.1596398365650969,0.21842598891966755,0.07661772916666656,0.09134639506172822,0.11481265432098746,0.10798358203124986,0.18161711328124985,0.2407865155709341,0.3601285288888887,0.026653219135802375,0.07451829752066101,0.09788484183673463,0.13148871468144033,0.22179501543209867,0.28568057617728526,0.6689849499999998,0.0748482695312499,0.09835235416666657,0.09463998499999991,0.15291501909722216,0.26289214749999995,0.31261416326530606,0.859578851851852,0.10447641015624988,0.11117751111111099,0.15718639197530854,0.22862879591836732,0.35142561495844865,0.4333213981481482,1,0.09525770079999997,0.10662498372781058,0.11698048688271603,0.16273948312499997,0.2759354308012486,0.32563664803804976,1
o1_gr_e10,A,0,0.1591624127423824,0.17490901587301597,0.20194279591836742,0.24051616620498623,0.29434129500000006,0.4169406897506927,1,0.1081000775000001,0.14412122265625013,0.14334566481994473,0.19702465096952926,0.24770176640000013,0.4856284475308643,1,0.1082027916666669,0.10793991715976345,0.12067067578125013,0.1871225260770976,0.28979943786982254,0.5060460268595043,1,0.029924925925926056,0.1286130000000002,0.11647398437500014,0.2010587148760331,0.34646425708884687,0.5099389256198348,1,0.08371591326530632,0.0940435486111113,0.08485538429752078,0.16240075425330822,0.24365564960000008,0.3172465432098767,1,0.11411636686390549,0.12252221487603324,0.14298776124567486,0.27491203125000013,0.35296271972318344,0.46035068858131506,1,0.11470031640625016,0.0833744070247935,0.11713983813443085,0.22137680340264665,0.3691303858024692,0.4305982345679013,1
o1_gr_e11,A,0,0.18002040495867785,0.086499396694215,0.1596501939058173,0.19594925000000013,0.27872009120000013,0.5061640550000001,1,0.1258754693877553,0.08011599000000011,0.14389155246913593,0.19242759504132242,0.22817561714285722,0.7051074921875001,1,0.12111056632653075,0.11686297916666682,0.1482527022222224,0.23485909070294791,0.2841824151234568,1,1,0.03595422837370255,0.06152083984375014,0.1255727439446368,0.18568351056014698,0.4243705505350774,1,1,0.09729148828125013,0.08177745152354583,0.1332662050000001,0.18496596877869617,0.3364246455078125,1,1,0.11220472888888904,0.12089886718750015,0.19015411357340728,0.2663508080000001,0.5300787534626037,1,1,0.13564315570934266,0.1067389712000001,0.13222288823959102,0.26249317241379316,0.4251962829861113,0.8099882933333333,1
o1_gr_e12,A,0,0.13359212888888894,0.11624054437869831,0.0964683671875001,0.1246927392,0.25161213609467453,0.8646603499999999,1,0.07754874380165293,0.093141701388889,0.08974804296875007,0.1280580486111112,0.213409126953125,0.5683990415512468,1,0.08119201953125003,0.11070085185185194,0.11986718055555562,0.17578582098765438,0.3049470510396976,0.67568868359375,1,0.024530280991735605,0.0799968181818182,0.11915367361111119,0.1779186358024692,0.28158378472222234,0.5279858699999999,1,0.08317049382716055,0.10165994444444454,0.0901708581314879,0.1349313175803403,0.23606603994082842,0.33574905624142665,1,0.15662865306122453,0.1136705663265307,0.13512166406250004,0.1975070234375001,0.22301401859504139,0.35632543750000006,1,0.12684626033057855,0.11896344217687083,0.12840142880000002,0.16170423979591841,0.2329918052930057,0.34203682548476466,0.678652867768595
o2-01_gr_e01,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.06360916290130804,0.09340917250000008,0.11588642148760339,0.12295551417769388,0.1557019365079366,0.24600804444444452,0.4019789400000003,0.21290459465020578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o2-01_gr_e02,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.06537012620027433,0.08762667800453511,0.10851240264650282,0.12726678925619833,0.19360382352941172,0.24125509765624992,0.40279674000000004,0.16694345905420993,0.24677867196745557,0.4328432310204082,1,1,1,1,0.6330371666666667,1,1,1,1,1,1,1,1,1,1,1,1,1
o2-01_gr_e03,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04554089035916823,0.08056869674556212,0.13615269140624997,0.11683774719999995,0.2888670902777778,0.24533928888888887,0.6735268055555554,0.3760851640624999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
