File,GT,Prec_2x2,2x2,Prec_3x3,3x3,Prec_4x4,4x4,Prec_5x5,5x5,Prec_6x6,6x6,Prec_7x7,7x7,Prec_8x8,8x8,Prec_9x9,9x9,Prec_10x10,10x10,Prec_20x20,20x20
o5_gr_e06,B,B,1,C,0,B1,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e07,C,B1,0,A,0,B1,0,B,0,B,0,B,0,B,0,B,0,B,0,B,0
o5_gr_e08,B,B,1,A,0,B1,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e09,B,B,1,A,0,B1,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e10,B,B,1,A,0,B1,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e11,B,B,1,A,0,B1,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e12,C,B,0,A,0,B,0,B,0,B,0,B,0,B,0,B,0,B,0,B,0
Total,-,-,45.556,-,60,-,63.333,-,68.889,-,70,-,70,-,68.889,-,67.778,-,50,-,57.778
Success A,-,-,0,-,100,-,92.857,-,100,-,96.429,-,96.429,-,92.857,-,89.286,-,53.571,-,25
Success B,-,-,86.667,-,28.889,-,55.556,-,62.222,-,66.667,-,66.667,-,66.667,-,66.667,-,66.667,-,100
Success C,-,-,0,-,63.636,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
Success D,-,-,33.333,-,100,-,100,-,100,-,100,-,100,-,100,-,100,-,0,-,0
