File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9
o2_gr_e02,C,2,0.06814718415637862,0.05154830905009692,0.29733866213151927,0.023968217797783947,0.037696466398831265,0.1277638392125776,1,0.39083450878906256,0.16034271251641954
o2_gr_e03,C,2,0.08608446951111118,0.08784279215287022,1,0.02699270723062385,0.04756455320603188,0.12541231911625708,1,0.24769886774317568,0.14781203947568974
o2_gr_e04,B,1,1,1,1,0.027508900800000024,0.055999045207100626,0.061513675143080135,1,1,1
o2_gr_e05,B,1,1,1,1,0.02945609286124675,0.07687850981948025,0.08404161059999994,0.1315880951557093,1,1
o2_gr_e06,B,1,1,1,1,0.028430770347222228,0.08470074890430972,0.07519701497403698,0.15134420935232465,1,1
o2_gr_e07,B,1,1,0.4512602476370511,0.1287434812611541,0.026173305310564852,0.07457171281773933,0.05109310339843754,1,0.7883392770083103,0.29881262969669525
o2_gr_e08,B,1,1,1,0.11608740065192744,0.04497106307870368,0.06270198768264701,0.04069533142006801,1,0.5496048960000001,0.21565167793367343
o2_gr_e09,B,1,1,1,0.12574698142669294,0.0394987019733513,0.06636969425392471,0.04699258135715426,1,0.4842304744444445,0.2251811557023843
o2_gr_e10,C,2,0.04374687491426616,0.14712915720714181,0.7155256673553719,0.02382484890241951,0.055337700024348686,0.06477801184854111,1,1,0.5954528964497042
o2_gr_e11,C,2,0.05118834221329371,0.2310011201873049,1,0.020993737061273048,0.05522011067542399,0.06367227315334079,1,1,1
o2_gr_e12,C,2,0.09752083640690068,0.4332858116545265,1,0.03224213371238114,0.08277998010380622,0.050522149844972,1,1,1
o3_gr_e01,B,1,0.21655469758948143,0.29982384807492196,0.22624278514739227,0.026116608407305383,0.042815528428819444,0.037879563514048274,0.14442098692810462,0.21054606632653058,0.1727787041322314
o3_gr_e02,B,1,0.24630137142857145,0.2704980416326531,0.2388906890203814,0.025303457636169466,0.04632491699436714,0.0410426553846154,0.1787342834567902,0.2459544196675901,0.18876500249199013
o3_gr_e03,B,1,0.17532627959547895,0.28838694333333337,0.22056259428911373,0.025523607981859434,0.04177544260789718,0.039938450591579105,0.2096217692307693,0.22042946995464852,0.17146493367346943
o3_gr_e04,C,2,0.07089405240238064,0.20233872859504137,1,0.03180855600189036,0.04594407725443118,0.0611508682041588,0.5055287407407408,0.20390446712018148,0.09815058758503399
o3_gr_e05,B,1,0.08705100338565715,0.15342781122448979,0.19080487875,0.027591719067405353,0.04533561736901135,0.044172227705476456,0.2803591087962963,0.3821059524375744,0.40667979818594113
o3_gr_e06,B,1,0.1265915457003786,0.15391339184746874,0.12738298525377223,0.028462331466601726,0.04171192096957451,0.032176351323991687,0.28563633528122717,0.3627731498216408,0.3030378899999999
o3_gr_e07,C,2,0.07940956142857143,0.16810225322314046,0.2700824348296377,0.024591225455862824,0.03581923376433634,0.05086342549967952,0.2373735918367347,0.259410467755102,0.10242353093750008
o3_gr_e08,B,1,0.11994608765859287,0.20501510062499997,0.19484360849645982,0.02627515690637238,0.04345423446280991,0.044439760603566546,0.20384782024691356,0.37776440666666666,0.20125333641975315
o3_gr_e09,C,2,0.06331711010742191,0.11685712635030868,0.236946253644315,0.03132992206396134,0.03803715007154282,0.07024599722387471,0.20181518750000002,0.17411440432098763,0.11059350730588101
o3_gr_e10,B,1,0.38776071250000005,0.2532616711758585,0.12768292155612251,0.030529180491786573,0.03992468285439778,0.03977591222222224,0.18591977501131737,0.19164871933871594,0.18015265090909105
o3_gr_e11,B,1,0.22052742932281386,0.2190502818559556,0.13355822496570643,0.026505021775931045,0.044691929945676764,0.034917770146024874,0.16704061718749993,0.22016323874999985,0.15567969642857135
o3_gr_e12,B,1,0.3351560850661627,0.25101025878906263,0.1002922958579882,0.03120012973760936,0.042658578332755236,0.0300476479559144,0.20197391043083904,0.20264963894139892,0.15607098030163136
o4_gr_e01,A,0,0.028970674791914376,0.04763894024970272,0.09237687456790122,0.01620338703124999,0.04033615958980931,0.0923427519132653,0.028819219059289275,0.05743310204081631,0.1231919011570248
o4_gr_e02,A,0,0.02568971358804946,0.048224795753829645,0.08954184760000004,0.013519548156956026,0.04220545356401386,0.11938634852430563,0.02378903939227819,0.057960307892544805,0.1593123997283839
o4_gr_e03,A,0,0.024826688271604974,0.05617132928240747,0.11838146897126198,0.011290004907024816,0.04245496667200774,0.10217301474622777,0.01904375255102043,0.04834988584057311,0.12282383753086425
o4_gr_e04,A,0,0.03842556510416665,0.0416170331632653,0.04661824560657597,0.019625484645328713,0.034045075716603576,0.047194126200378064,0.04899451750561501,0.08073040236686388,0.20041937035123972
o4_gr_e05,A,0,0.03668840761836958,0.04365069221298866,0.05070616781722553,0.01787798214639956,0.03335943329946294,0.05096468498614963,0.04286869739612192,0.07568530020528923,0.14844294771617358
o4_gr_e06,A,0,0.03607968250000003,0.04340388762912576,0.05408143828125006,0.02005420690284884,0.037979436337809945,0.06048304789670974,0.0450316273871528,0.08257728266059029,0.23627183700178472
o4_gr_e07,A,0,0.016301322336398107,0.038321698870392426,0.056306094577777806,0.01796027154663522,0.038883975981404986,0.06238792791234141,0.04126451249519417,0.07455943556786705,0.13440842897959188
o4_gr_e08,A,0,0.021574261253462644,0.051345293383827165,0.07677161585798818,0.014280132936507966,0.03827213580246917,0.07953574351211078,0.039574582063711956,0.06758519965277783,0.10319980274119867
o4_gr_e09,A,0,0.014915479080932752,0.04131278303850153,0.06234223719271908,0.018241053093396766,0.04208191329549569,0.08122848468173703,0.039005512182423985,0.07353397373961221,0.1478648649843912
