File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9
o1_gr_e10,A,0,0.0007964610854400008,0.0011617572126252002,0.003619487204733729,0.00039426858000000075,0.00111092898270612,0.0037509032891966773,0.0005951487600522582,0.001206844264197532,0.0035283628335600918
o1_gr_e11,A,0,0.0006025141785123974,0.001139610093223387,0.004472276220213018,0.00042328694472688015,0.0012477313692307703,0.009501905093877553,0.0006867034704000005,0.001424464283755103,0.007570431871999999
o1_gr_e12,A,0,0.0005627947316135237,0.0008667399365079365,0.004817317178571429,0.0003609534456657591,0.0009948815428760334,0.003990017167485823,0.0006930067241285653,0.000961665505544384,0.0024856662194222678
o2-01_gr_e01,B,1,1,1,1,0.0021751692556000015,0.002524294108419841,0.005472721711111114,0.03631595154,1,1
o2-01_gr_e02,B,1,1,1,1,0.0020969683024574673,0.004496400127999999,0.0058734951248513665,0.009436244938581318,1,1
o2-01_gr_e03,B,1,1,1,1,0.0012596771315104166,0.0030495528231292506,0.0068693599027777755,1,1,1
o2-04_gr_e04,D,3,0.00315515077189349,0.002552257558374425,1,0.0006439072191208383,0.0019879183449398874,1,0.0018822342152173914,0.002470046264743705,1
o2-04_gr_e05,D,3,0.004048275799138178,0.0023949601200104124,1,0.0008139741847222219,0.0018510644828532241,1,0.0017060562321599992,0.002391936289266278,1
o2-04_gr_e06,D,3,0.0036456176112036756,0.0025745244870049562,1,0.0007446952347454608,0.0018268929455290861,1,0.0021499446347826093,0.002050677874073843,1
o2-07_gr_e07,B,1,0.0030064622335097004,0.004135199957849768,0.00522181107,0.0005795270202469138,0.0009315921479338844,0.00106586241567187,0.002407793339357908,0.0030022981142857146,0.0034140568258541077
o2-07_gr_e08,B,1,0.003432150248487007,0.005075604745484049,0.004191972379067286,0.000682519804671128,0.0008782372618075806,0.0009377630719584458,0.003289131308641977,0.0036191656340192066,0.003639618657142858
o2-07_gr_e09,B,1,0.004930067342772162,0.006373860488756695,0.004275701136925622,0.0009517685881183436,0.0009080622893827163,0.0009649981440634885,0.004505394724571429,0.003283953118148761,0.0032118310038800712
o2-10_gr_e10,B,1,0.0014454097575000004,0.001969628973517429,0.0029915978190789474,0.0004636735422512759,0.0007046553065166497,0.0007681678700346022,0.0018014062530000005,0.002011940220936215,0.002998295607656251
o2-10_gr_e11,A,0,0.00040537336340027737,0.0010117762330168006,0.0043541653727678575,0.00037602066810000026,0.0010675868459076364,0.008922122827148438,0.000617849047916667,0.001449070091598889,0.007152275187074829
o2-10_gr_e12,B,1,0.0011431016410235965,0.0018281413762860084,0.004064225694999999,0.0003339502149122803,0.0006361259126586913,0.0008586292996215821,0.0010840711919008264,0.0017694926914062486,0.0025884593914336706
o2_gr_e01,C,2,0.0030695985963453045,0.0026803428022639537,0.043699710560661166,0.0007567637642675885,0.0010766797343537047,0.0028435668402548766,0.03733223043753087,0.00480661152808963,0.002736486505711552
o2_gr_e02,C,2,0.0018699587332510297,0.0014144856003346599,0.00815897288888889,0.0006576878963711916,0.00103439103798393,0.0035058397479931303,1,0.010724498921171877,0.0043998040314505524
o2_gr_e03,C,2,0.002362157843384891,0.0024104062166747592,0.06001504376000002,0.0007406798864083185,0.001305171339973515,0.003441314036550095,0.06243040793111115,0.006796856930872742,0.004055962363212927
o2_gr_e04,B,1,1,1,1,0.0007548442379520007,0.0015366138004828415,0.0016879352459261193,1,1,0.10184031350500003
o2_gr_e05,B,1,1,1,0.12079903577777777,0.000808275188112611,0.002109546309446538,0.002306101794863999,0.0036107773310726636,0.17644667739999997,1
o2_gr_e06,B,1,1,1,0.3699923987200002,0.0007801403383277781,0.0023241885499342588,0.002063406090887575,0.004152885104627789,0.11361674688000002,1
o2_gr_e07,B,1,0.33393618384000007,0.012382581195160683,0.0035327211258060686,0.0007181954977218998,0.0020462477997187675,0.0014019947572531262,1,0.021632029761108038,0.00819941855887732
