File,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1_gr_e10,0.06446770701754387,0.05469344918367348,0.07533495736842108,0.12588851285714286,0.04491644946428573,0.05281734653061226,0.08067054350877192,0.12728184122448982,0.05147208535714287,0.04342921020408167,0.08770022982142857,0.12891256224489794,0.06598009375000001,0.05619928530612245,0.09612453339285718,0.1299343130612245
o1_gr_e11,0.08167194701754385,0.04856844120000001,0.12319684820895528,0.16325004999999998,0.058790545714285714,0.04824320684210527,0.11829402016393445,0.16325004999999998,0.06340203160714286,0.051772566428571434,0.10864443459016394,0.15992658061224488,0.06989768535714287,0.06673112142857145,0.11393440160714284,0.15402838163265306
o1_gr_e12,0.07289433192982454,0.03270838244897961,0.08212248468750001,0.12568160285714283,0.0681682432142857,0.04548455142857144,0.06467324875000001,0.1086922506122449,0.06730183035714285,0.05334111142857143,0.07637634214285716,0.10376276448979593,0.06847910642857143,0.05482783836734695,0.08686612660714287,0.11332013795918366
o2_gr_can,0.04122199789473684,0.04188178040816327,0.04374063785714286,0.04516393632653062,0.033407402857142866,0.04142800897959184,0.04306934875,0.044460790408163274,0.04225319946428572,0.04289565285714286,0.04373833428571429,0.04410423244897959,0.04617086517857143,0.042691879795918375,0.04279718553571429,0.04515203163265306
o2_gr_e01,0.16566672,0.16566672,0.16565630303571427,0.16566672,0.05610011017857145,0.06438869450980395,0.11397411483333335,0.15228853775510207,0.12210810464285714,0.156786926122449,0.15687704392857144,0.16294084224489797,0.16566672,0.16566672,0.16566672,0.16566672
o2_gr_e02,1.0595558578947368,1.4420000999999998,1.4420001,1.4420000999999998,0.38213770892857146,0.5900638842857143,0.6855380230357142,0.946633955510204,1.0897644144642857,1.074201779387755,1.1011716539285714,1.3045228669387756,1.4420001,1.4420000999999998,1.4420001,1.4420000999999998
o2_gr_e03,0.18460558438596492,0.12158011448275867,0.22150840392857146,0.24050005000000002,0.07689538375000002,0.1308977595614035,0.24050005000000002,0.24050005000000002,0.13049740357142858,0.13545350966386555,0.24018755035714287,0.24050005000000002,0.21056673339285714,0.14455575752941174,0.22996086089285717,0.24050005000000002
o2_gr_e05,0.33512275947368425,0.3454999500000001,0.34549995000000006,0.3454999500000001,0.07107940142857144,0.1193454667346939,0.2442601321428572,0.26329533081632656,0.3123192644642857,0.24688668387755106,0.24130110857142859,0.22116207979591845,0.34549995000000006,0.3454999500000001,0.34549995000000006,0.3454999500000001
o2_gr_e06,1.2124461268421054,1.5230001,1.5230000999999997,1.5230001,0.296720545,0.8003690663265306,0.6461599301785714,0.9145416251020407,1.1770905085714287,1.0751284820408162,1.2140386378571428,1.3489503136734695,1.5230000999999997,1.5230001,1.5230000999999997,1.5230001
o2_gr_e07,0.09670791824561405,0.08341138530612248,0.11563570785714286,0.16728294510204084,0.03817198807017547,0.06364056196078434,0.12978227321428573,0.1920291667346939,0.061793155645161295,0.11770533612244899,0.20168059714285716,0.20192112,0.1487955848214286,0.20192112,0.20192112,0.20192112
