File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1_gr_e05,A,0,0.0009195650726399983,0.0011035696767595505,0.001901428967877031,0.007174212351999997,0.0005220061163593079,0.0007692139093333315,0.0018330297359999991,0.004164047831249997,0.0007786279395555537,0.0008616721469387732,0.0014330311120666476,0.0040573391548508475,0.0016153570615933398,0.0015662585133007741,0.00128576251791383,0.0033010497935727777
o1_gr_e06,A,0,0.0012708594834720565,0.001352652352327912,0.002188449087483579,0.00524260828957196,0.0005719624583090366,0.0008993001272727261,0.0018340972175540195,0.004277169273940828,0.0006630928604914922,0.0008690762888888875,0.001210564138242407,0.004317238778698224,0.0012737452528113274,0.0014010052792899394,0.001114989997959183,0.0024380038561983455
o1_gr_e07,A,0,0.0006111664363636346,0.001809921977842564,0.0030424449702734836,0.0065597053562326865,0.0008815079510204066,0.0015908076740740729,0.0030796274882812485,0.007471568530177512,0.0011180957182629376,0.0018281566759002761,0.0037113188063492065,0.014416497937190081,0.001076480103999999,0.0017570406006096667,0.0034686628170096,0.03767838364444444
o1_gr_e08,A,0,0.0008102483101070148,0.0013463567156249997,0.0017619289379999998,0.002840100966,0.00046532642840236676,0.0010069319157644254,0.0017973300072623712,0.0033268730625,0.0007267618163331528,0.0012797769569241723,0.0024737458266015514,0.005818816247772097,0.001129793044982699,0.001544439743999999,0.002628560342857143,0.006269021417847485
o1_gr_e09,A,0,0.0010620895640138393,0.0010938187231409866,0.001787558421037252,0.0024398991673469385,0.000538350083999999,0.0008735814126554886,0.0015808234499999991,0.003117465799621928,0.0007570881979773935,0.0011484027133884288,0.0022826172137356917,0.005011340075999999,0.001029895727891156,0.0013949929561983473,0.002634837881632653,0.00706768831906501
o1_gr_e10,A,0,0.001410596350014365,0.0018263399620798628,0.002463941662003782,0.012373967664000004,0.0008138653714285729,0.001168294704399525,0.0026677098414201175,0.01345972962816,0.0007900307027027042,0.0012116991506172855,0.0024714172111111126,0.008988084608000003,0.001072388935111113,0.0013401805665404331,0.003183117997959185,0.007549451048491158
o1_gr_e11,A,0,0.0010691411125000013,0.0013936192053017763,0.002528236005690232,0.015590633040000005,0.0007196615875000011,0.0013668833861495856,0.0028191974376492192,0.35178145920000004,0.0008244320986255738,0.001533857482224853,0.003281991713421551,0.3562212959999999,0.0011335991693877563,0.001769336032921812,0.004012335842722117,0.023856334336
o1_gr_e12,A,0,0.0010771397217391302,0.0009290702980609423,0.0021054873847241515,0.05648794400000002,0.0005891069500000004,0.0010713102875000006,0.0025597740832724617,0.014894444409917355,0.0008313707841209841,0.0010984924907955025,0.002495012204958677,0.007040011928994084,0.0013275656612317555,0.0013436297595010023,0.002181042018685121,0.005729284488888892
o2-01_gr_e01,B,1,1,1,1,1,0.004227553244444449,0.005573554131519279,0.006550005220000004,0.016344036839506176,0.004019525829395087,0.007970849680473381,0.007627795634349034,0.01593216197222223,1,1,1,1
o2-01_gr_e02,B,1,1,1,1,1,0.003727743526627214,0.005425326499999999,0.006696132077562326,0.010662682506666665,0.002796443568934734,0.00828783543252595,0.011151122489795917,0.025091170499999992,0.06348182218181816,1,1,1
o2-01_gr_e03,B,1,1,1,1,1,0.002491212472222222,0.006768617777777776,0.01241458472222222,1,0.0029919687071999993,0.00850259575,0.006798471927437639,0.010561229249999997,1,1,1,1
o2-04_gr_e04,D,3,0.01051972159053498,0.003498160008463541,0.015704177876385044,1,0.002309779072152373,0.0024314873895652177,0.02093869237277051,1,0.0011556796012802922,0.0020409659774485596,0.024534838612799995,1,0.00595016449744339,0.0030093375945247918,0.05287791544791666,1
