File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64
o1_gr_e05,A,0,0.019017096153846128,0.01714447124999997,0.022626036666666637,0.029068812631578917,0.04170878649999997,0.05360423812499998,0.06559813999999999,0.25,0.033093277692307674,0.08434516692307689,0.01434862769230767,0.03889485076923074,0.03238981466666664,0.04912684999999997,0.07605849199999998,0.23063755076923076,0.0481915092307692,0.08209541307692306,0.08365026615384615,0.014253617857142834,0.0293872713333333,0.04965108714285712,0.09005403962962959,0.16644699846153846,0.0609861092307692,0.04370272384615382,0.08358588076923075,0.012864074615384583,0.025626241428571412,0.046858558823529385,0.0821694957142857,0.16164399230769227,0.0640461646153846,0.045419823846153826,0.08409838769230767,0.06631104615384613,0.0212335053333333,0.042736255882352914,0.07805913958333328,0.16080244307692307,0.034430321538461525,0.03283236461538459,0.032937116923076895,0.04955915615384612,0.01667904214285712,0.038198038666666635,0.08064888434782608,0.18641254538461535,0.04322037230769228,0.09300816615384613,0.07623266615384613,0.022474278461538433,0.10711302999999998,0.03186147999999997,0.05504656866666664,0.23962646307692306,0.03626832937499997,0.03740773904761902,0.03879599157894734,0.03663482882352938,0.027133017999999964,0.030573294545454512,0.04948373633333331,0.25
o1_gr_e06,A,0,0.03111170526315788,0.027212816666666653,0.030336780454545433,0.040477067391304314,0.05214153904761904,0.06488195149999998,0.10333481920000002,0.2144360176923077,0.0406464846153846,0.03513196384615383,0.09068845230769229,0.025463178461538442,0.03996841266666665,0.06219136176470587,0.10425663076923077,0.21191750692307693,0.01484924466666665,0.08441964999999998,0.031385587692307676,0.03471267999999999,0.03350330249999998,0.05777727333333333,0.09764010375,0.18037154923076923,0.005692002142857121,0.04438090999999998,0.08424933,0.050000827692307674,0.02511991785714283,0.04900258210526314,0.08417205346153844,0.16523082384615384,0.027456466153846136,0.02614673538461537,0.08364844615384613,0.08363361076923076,0.016859753571428555,0.03778203722222221,0.08012251679999997,0.16678930692307692,0.014418981538461521,0.08483851384615383,0.08533428923076922,0.08515937153846152,0.08507708999999998,0.027097514499999985,0.056108902777777754,0.24016333538461537,0.08995042230769229,0.06999072692307691,0.10643038769230768,0.0546539746153846,0.0879228,0.018949844374999986,0.041741141499999995,0.2195339823076923,0.024428584615384594,0.02441706529411762,0.027943597894736823,0.03145451571428569,0.027905704666666652,0.021832546249999984,0.030221853684210504,0.20199235
o1_gr_e07,A,0,0.04349759230769228,0.011109218571428544,0.041711408461538424,0.054630158461538444,0.053785930666666655,0.07035665933333331,0.08396454882352938,0.22598575153846154,0.13779056076923074,0.011428046923076897,0.023439700769230742,0.053980021538461515,0.05434144437499999,0.08247252230769228,0.08641226499999999,0.21470423384615384,0.04862821615384613,0.06733872846153845,0.09074558846153845,0.03438260562499998,0.054408978124999965,0.07457206124999997,0.09579101999999999,0.20525640769230769,0.011795333076923051,0.10607800076923074,0.020912656153846125,0.03806336874999998,0.06098815249999998,0.08377547374999998,0.10532597235294115,0.23912307384615383,0.03114261153846152,0.08867174076923076,0.04147031153846151,0.04297638187499998,0.06619227687499998,0.08902355937499998,0.11980857230769226,0.25,0.05215101230769229,0.0897739223076923,0.02766833333333331,0.0479020064285714,0.0735129233333333,0.09553212499999997,0.14348162538461537,0.25,0.0899815023076923,0.056880338461538435,0.049211132307692286,0.053896725294117626,0.08101461066666665,0.1018428992307692,0.19874886384615384,0.25,0.020276950869565196,0.0276486076470588,0.03978911727272726,0.06317237156249997,0.09254022551724131,0.11163350374999999,0.2096899469230769,0.25
o1_gr_e08,A,0,0.13827380538461537,0.13945512307692307,0.12332678,0.14303219846153847,0.09340455153846154,0.09478710153846154,0.09951268692307692,0.1554233423076923,0.08113743769230768,0.10164161538461537,0.12188389692307691,0.03319594076923076,0.07421311769230769,0.04366056846153846,0.03576210733333333,0.09440260615384616,0.08152140076923078,0.10065246307692308,0.12069445307692309,0.014761213076923062,0.024046149230769236,0.03401811692307692,0.04535983533333333,0.08694206538461538,0.023495246923076925,0.06323477538461536,0.1034018446153846,0.017890687692307693,0.030133763846153842,0.04331760285714286,0.05795183785714286,0.13765602615384614,0.007576384285714285,0.08347580230769232,0.06872522,0.024587489333333327,0.038432783333333345,0.05288774333333333,0.06857366357142858,0.17035552461538458,0.06770476769230768,0.06885956846153846,0.03637038769230769,0.032073228749999995,0.048278367142857145,0.06295089599999998,0.0772843953846154,0.19896983769230767,0.01983190428571429,0.09147912923076922,0.07796668615384615,0.03941462785714285,0.05785811857142858,0.07421927999999998,0.08502099642857143,0.19014624307692307,0.02882384086956522,0.031096446363636374,0.03818103916666666,0.053136614687499986,0.07367504035714285,0.08973129,0.09844182125,0.25
o1_gr_e09,A,0,0.1045331746153846,0.06866407692307691,0.06974741307692307,0.12571127615384614,0.12688946692307693,0.0940642076923077,0.12956222153846153,0.10469457307692308,0.1211410923076923,0.08460865230769231,0.06826407846153845,0.015003195714285699,0.09080666769230768,0.042063575384615366,0.030854183076923062,0.0421535023076923,0.08371350615384615,0.08242711846153845,0.08389355999999999,0.03202328076923076,0.07443362769230767,0.029222148571428554,0.040107527142857126,0.06747087692307689,0.04336492153846153,0.04427009846153844,0.08453951384615384,0.015762983846153825,0.027424403333333312,0.04018987058823526,0.052176360714285705,0.16318273615384613,0.02724717307692306,0.06457197538461537,0.03171738307692306,0.022582155999999985,0.03663243062499998,0.05030205999999999,0.0631575575,0.14247475153846154,0.08613366846153844,0.0675777723076923,0.017688843076923064,0.03168055466666665,0.049269885624999996,0.061179463999999996,0.07230352214285711,0.22377967846153846,0.07121381230769229,0.07054195923076921,0.04183735307692306,0.04078443352941175,0.05969206999999999,0.07396786928571428,0.08183418307692308,0.23735278615384617,0.02358268777777777,0.02608046559999998,0.0371885348275862,0.056176419666666644,0.07609179966666665,0.089666704,0.09609458304347823,0.25
o1_gr_e10,A,0,0.031080923125000028,0.03551214312500002,0.04172157052631581,0.04537029285714289,0.048735871176470595,0.066446902,0.09527033923076923,0.25,0.023472320625000022,0.05876263000000001,0.04421592769230771,0.03248290000000002,0.04633994600000002,0.07180332470588237,0.15231478538461538,0.25,0.014564656923076945,0.08714086846153847,0.054094693846153855,0.027755335625000023,0.05176717722222224,0.08232041238095239,0.12335112384615383,0.25,0.007680264285714313,0.13990746230769233,0.014472365714285737,0.030276682941176497,0.057905896666666706,0.09203300238095238,0.12056797384615388,0.25,0.008210905625000021,0.13978013615384616,0.03201931692307694,0.029107450000000017,0.05152046000000002,0.0797810613636364,0.10690199000000002,0.25,0.08538791846153848,0.13976766923076925,0.01563914153846157,0.030120479230769263,0.04559610714285716,0.06330196411764707,0.08200928625000004,0.25,0.05178382923076925,0.12282975461538463,0.019354706923076948,0.0532183630769231,0.06805182846153848,0.10841529615384617,0.08129128538461541,0.25,0.05442919769230771,0.01727920687500002,0.025745799545454574,0.041452794500000015,0.058361286666666685,0.07009287750000001,0.07999591333333335,0.21249073923076922
o1_gr_e11,A,0,0.09048964615384616,0.01788941666666669,0.026026219411764726,0.040955881904761925,0.05515917052631581,0.07990933000000003,0.10504784714285716,0.25,0.03623199384615387,0.0873786207692308,0.02082317846153848,0.033659868571428594,0.05413298000000003,0.09235364653846158,0.18805352615384616,0.25,0.03523830230769233,0.08634817692307693,0.03672406461538464,0.033072893750000026,0.06331605750000002,0.10748567400000003,0.24016510307692307,0.25,0.008590706000000019,0.028172650000000018,0.016667532307692332,0.03554739125000002,0.08052118333333334,0.13437428249999997,0.25,0.25,0.012181925000000022,0.04847231769230771,0.035821342307692336,0.043051494761904785,0.08751965708333333,0.13611852391304355,0.25,0.25,0.03395432846153848,0.034247666153846175,0.024025705714285733,0.04411508388888891,0.07737995090909092,0.11790661913043479,0.24028368846153844,0.25,0.03489071384615387,0.07201561076923078,0.047866458461538475,0.053192291250000016,0.08270359437500002,0.10858087785714286,0.2020545023076923,0.25,0.02393662533333335,0.02555431263157897,0.041512564800000026,0.06320049678571431,0.08704465333333333,0.1089758427777778,0.15285135307692307,0.25
o1_gr_e12,A,0,0.03855188384615386,0.03359292615384616,0.01456052692307694,0.021885993000000003,0.046143215217391315,0.07801214875000002,0.25,0.25,0.019144113076923083,0.08497249923076923,0.08578067846153847,0.020396793333333347,0.04608404722222223,0.08448845875000001,0.1889307153846154,0.25,0.014915065384615388,0.08368542538461539,0.08525428615384617,0.021145331333333343,0.04580891647058825,0.08370036142857143,0.1572331515384615,0.25,0.00704520200000001,0.04490778076923077,0.08517763846153846,0.021616882666666677,0.04626601470588237,0.08127076736842108,0.11223562769230769,0.25,0.010109308461538478,0.04671669153846155,0.08550627615384616,0.021579244000000004,0.0472543305263158,0.0767639706666667,0.102361064375,0.25,0.01908182615384616,0.08646345000000001,0.03306007461538462,0.023133893076923095,0.040327970714285725,0.06443458500000003,0.09044475086956523,0.25,0.11085925692307692,0.07074460153846154,0.055250610000000006,0.029705224615384624,0.07094043461538463,0.054226168125,0.08690663769230769,0.21000964,0.029379145000000013,0.024889490000000018,0.029024280000000006,0.040016084090909086,0.050270317826086965,0.05865124888888889,0.067545565,0.15558680769230768
o2-01_gr_e01,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.17292593227272732,0.20599141772727278,0.1409113631818182,0.17720782454545458,0.15429873954545456,0.1782219431818182,0.20125602181818184,0.2578748354545455,0.03704581000000002,0.028550943333333353,0.20916198500000005,0.1992995190909091,0.16647528090909092,0.18015317181818186,0.1837265795454546,0.24724688454545457,0.14471198736842106,0.2667086827272728,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2-01_gr_e02,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.20715544090909094,0.19389816090909093,0.15189672818181818,0.17597652181818185,0.1309370354545455,0.21221692818181823,0.16886965409090912,0.22500538272727277,0.03354029769230769,0.03908696696969696,0.09195069615384616,0.1419589081818182,0.1794199472727273,0.22497695363636366,0.2156904313636364,0.25908059045454546,0.11199048487804879,0.1443288257142857,0.182448155,0.2682767322727273,0.28,0.28,0.28,0.28,0.22440911000000002,0.2749431677272728,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2-01_gr_e03,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.03398647454545454,0.10118513045454547,0.17435620181818184,0.2104675481818182,0.22319601227272728,0.20254469227272728,0.28,0.28,0.03887256225806451,0.06935126090909091,0.22077491090909093,0.19914630590909094,0.1215931840909091,0.2021064659090909,0.16963644863636365,0.2146577113636364,0.27132750227272734,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
