File,Class_GT,Class_GT_n,M1,M2,M3,M4
o3_gr_e01,B,1,0.06817307583333333,0.06801966645833331,0.05343967837837839,0.06956502202453985
o3_gr_e02,B,1,0.07371985979166669,0.06737310489655174,0.06103057541666669,0.07395475145454548
o3_gr_e03,B,1,0.05080350375000005,0.07787366631944447,0.06267038097222224,0.06944638192546586
o3_gr_e04,C,2,0.0561445800492611,0.12317279055555558,0.09911166125,0.06791797108695649
o3_gr_e05,B,1,0.03945320248322146,0.08264852298611114,0.06511529,0.10769921319444443
o3_gr_e06,B,1,0.04945093597222219,0.05570721658385093,0.06437458389610386,0.09091218597222221
o3_gr_e07,C,2,0.04644504047619047,0.08719680143712574,0.08144227152777779,0.067333718
o3_gr_e08,B,1,0.045504929034482756,0.07356947314102559,0.06255973607843136,0.07914019837349395
o3_gr_e09,C,2,0.041053324779874216,0.09306017914772732,0.09269227423611112,0.08693662862559241
o3_gr_e10,B,1,0.0994301796527778,0.05780283612500005,0.0607436700657895,0.07326525692307695
o3_gr_e11,B,1,0.05711063694444443,0.05692465050632909,0.05599680102564102,0.06552205974193542
o3_gr_e12,B,1,0.08947444895833336,0.06158148922680411,0.05853572503355706,0.06610625620481925
o4_gr_e01,A,0,0.034592274437499994,0.06663543949999999,0.03066920101851851,0.06860677399999998
o4_gr_e02,A,0,0.024992986312500014,0.06707595018750001,0.030014302695652195,0.07599732325000005
o4_gr_e03,A,0,0.020079410689655196,0.06925217431250005,0.01996433048648651,0.06925083293750003
o4_gr_e04,A,0,0.046608130562499996,0.03854592322404373,0.041783361675126904,0.06952307883720928
o4_gr_e05,A,0,0.03863984406250002,0.03657858404907977,0.03920440990196081,0.06839320033707871
o4_gr_e06,A,0,0.03008245793750003,0.04248360573033711,0.04394858236966827,0.07809130950000004
o4_gr_e07,A,0,0.041645170687500024,0.043016532333333364,0.04120559242857147,0.0776619647120419
o4_gr_e08,A,0,0.01850365360946749,0.04975898243750006,0.028765520397727288,0.06168260712500003
o4_gr_e09,A,0,0.028347645624999983,0.04550652650887572,0.03943654827102803,0.0778898236842105
o4_gr_e10,A,0,0.03353375920398013,0.08767571418750002,0.04475386075000003,0.04354707948863641
o4_gr_e11,A,0,0.027025487062500003,0.08078656137499998,0.031779879661016926,0.05989268056249999
o4_gr_e12,A,0,0.03240594319796958,0.090394163,0.04229840000000003,0.04492746993750004
o5-01_gr_e01,B,1,0.08125777756906079,0.14617772121546962,0.0933782009392265,0.13075471259668509
o5-01_gr_e02,B,1,0.08215799464088397,0.12101238607734804,0.11552643718232043,0.12640387939226516
o5-01_gr_e03,B,1,0.09969176745856353,0.12449606872928173,0.09633439193370162,0.12882042237569058
o5-04_gr_e04,D,3,0.06773418051546395,0.24706781643356643,0.06403533768115943,0.25
o5-04_gr_e05,D,3,0.06285098664310954,0.24592970090909094,0.05650843278301888,0.23161670090909092
o5-04_gr_e06,D,3,0.06986653123636369,0.25,0.06853607167400882,0.25
o5-07_gr_e07,B,1,0.03915493210084032,0.06033301081632653,0.038915340285714285,0.04365432819999999
o5-07_gr_e08,B,1,0.04964469585585583,0.05536453899999997,0.02363992193877551,0.03629156928571428
o5-07_gr_e09,B,1,0.04335910452830187,0.05499497897959182,0.04050739887755101,0.04381979517857143
o5-10_gr_e10,A,0,0.02859753064935064,0.04290598688311687,0.015986582530120478,0.03549159363636364
o5-10_gr_e11,A,0,0.02074459279069765,0.04919386397435896,0.012299140389610363,0.023187245333333308
o5-10_gr_e12,A,0,0.02144367500000002,0.0540825111627907,0.012294546103896126,0.02408402855670106
o5_gr_e01,B,1,0.05297918658730157,0.06662369338345865,0.049472749785714254,0.0701691356097561
o5_gr_e02,B,1,0.052580671666666676,0.07314499259541986,0.05019598537931032,0.07388682692771083
o5_gr_e03,B,1,0.055276741666666664,0.06545305841269844,0.07024350849206347,0.07351430824242428
o5_gr_e04,B,1,0.0502519457792208,0.10162295849206354,0.05235400897590363,0.0942175796031746
