File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1_gr_e06,A,0,0.001998227573999999,0.0022073199357195024,0.0021678192459183665,0.0036136097999999997,0.012956707138775512,0.0014533965759999984,0.0018833492244897936,0.0020738663555555543,0.003878165767679999,0.011888877857142856,0.00048332256771365804,0.0014338094399999977,0.0013553679114186833,0.002935611762499998,0.008003543577777777,0.0011946644363636347,0.0015335818999999977,0.001237175948632578,0.001776020335526863,0.007508779930864196,0.0020816359874999977,0.002422295595421433,0.0021607378444444434,0.0017072142980609408,0.0051077987702479325
o1_gr_e07,A,0,0.000787794449382713,0.001846981498775508,0.0038630125557551,0.00499898895419393,0.013596376447645424,0.0016348231439999967,0.0021441353481481454,0.0038991165884297487,0.0064536086117647036,0.01505310733296399,0.0013360338962962936,0.0017878464888888873,0.0035893874285714287,0.005961084855381284,0.021176339711999996,0.0019584112435199973,0.0019117453192147517,0.0040329433338842985,0.006741217142857141,0.08181157139999999,0.0016302880163623064,0.002152755222145327,0.0035357069369406865,0.007016474183111108,1
o1_gr_e08,A,0,0.0013267711124999983,0.0016269966578449904,0.00241619855,0.0032111814500000004,0.004791185699999999,0.0012081137624999998,0.001458461232,0.0019701032789536258,0.003624222656790123,0.004919835071999999,0.0005341288639999998,0.0012221610121284177,0.0020459509775147926,0.004183937613840829,0.007183820918518519,0.0014184105474435188,0.0016532429480968852,0.0027638312514872898,0.005111205443973703,0.010683515781818182,0.002002888224,0.001842249085714286,0.003061411191135733,0.0042689339265728245,0.014036187023999998
o1_gr_e09,A,0,0.001597670418147446,0.0016018317037037025,0.002679666695999997,0.002522057436734692,0.004324329169919999,0.0012977770448979573,0.0015351587279999978,0.002109890613232512,0.0025460292456747392,0.004466425791999998,0.0005856284249999984,0.0012461591387755086,0.0019484390077428768,0.003190277493872694,0.0070539062059171605,0.0012501899999999982,0.0015591475513469376,0.0028313475918367334,0.005037588177777779,0.010014340879338841,0.0017879036808864256,0.0017842271602040813,0.0030229293759999995,0.004432089186734694,0.015987298247750865
o1_gr_e10,A,0,0.002015645114098754,0.0025934011918367366,0.0032183235218934923,0.00425390047985514,0.0409700672,0.0020721466710743827,0.001860673088865767,0.0032874931432525976,0.004816508666272189,0.364429296,0.000729668468678462,0.0014438850880000025,0.002652659414744803,0.0048827380345679025,0.03467843712,0.0015230523000000027,0.001424189896193774,0.0030664847123447773,0.004189396263286558,0.019146390986982256,0.0017689789102040842,0.0016112206572201206,0.003383732979591839,0.006133452218181818,0.016188188928000002
o1_gr_e11,A,0,0.001638670021875002,0.0017252815905325458,0.0026663369472000016,0.00456725983418182,0.07894537200000003,0.0018522271641600026,0.0023828555500000027,0.003519474726627221,0.005818125752249135,1,0.0006815120094674572,0.0017398845183673496,0.0026739602124497054,0.008059703989135355,1,0.001419219759375002,0.0018686890969529105,0.0032928044905785134,0.007462619434710743,1,0.0017469976000000016,0.0022203405273600024,0.0041580948705882345,0.007330683168595042,0.3677173056
o1_gr_e12,A,0,0.0015963942876033065,0.0013632824320000013,0.0018026819160493835,0.004843930760344046,1,0.0014900077037037045,0.0017535034800000013,0.002762216205061225,0.005431281275000002,1,0.0005651816555149754,0.0014195079014400012,0.0022552466578512407,0.004907999427840001,0.03297034915199999,0.0016293997760000011,0.0013297965259515578,0.0024783651085463847,0.00378776077056,0.012804159673469389,0.0021120324444444463,0.0019970699760000006,0.002830239104132232,0.0040273955635931,0.009996774204081632
o2-01_gr_e01,B,1,1,1,1,1,1,1,1,1,1,1,0.0021064863313609485,0.0037501000765306144,0.004426030994897963,0.004928740373333336,0.011872979751111118,0.012394053432291668,1,1,1,1,1,1,1,1,1
o2-01_gr_e02,B,1,1,1,1,1,1,1,1,1,1,1,0.002042975105599999,0.004686158253420582,0.004507927341836734,0.006994493545454545,0.010341469204152248,0.005601361455428371,0.014392613984374998,0.07685833818181818,1,1,1,1,1,1,1
o2-01_gr_e03,B,1,1,1,1,1,1,1,1,1,1,1,0.001559797171428571,0.0038944912511999995,0.004488434387755102,0.00711055609090909,0.015574199636363638,0.056204552555555544,1,1,1,1,1,1,1,1,1
