File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81
o2_gr_e01,C,2,0.28,0.28,0.28,0.28,0.2500904030769231,0.28,0.28,0.28,0.28,0.28,0.20923436846153848,0.13165480384615383,0.0755155864285714,0.09809093210526312,0.2436201530769231,0.28,0.28,0.28,0.07400747052631575,0.07941743499999997,0.06698338470588233,0.07222734846153846,0.0966215903030303,0.15638030739130432,0.19130704692307696,0.28,0.28,0.02931518555555553,0.03199018388888886,0.03656235714285711,0.035587548461538436,0.07267984962962959,0.12099942192307692,0.13849774066666665,0.2385913138461539,0.28,0.04955688307692306,0.0090757164285714,0.03603718999999998,0.025129505384615357,0.05061462913043474,0.07659637208333331,0.10379958166666664,0.12020173374999997,0.23244631384615386,0.25996316923076923,0.1782099053846154,0.14445395461538463,0.0828432015384615,0.05928016529411762,0.053130296470588215,0.06627578882352937,0.08538769999999998,0.14463780538461538,0.28,0.2442118830769231,0.20671182923076925,0.11170631846153843,0.09961112375,0.09042552499999995,0.08400450866666663,0.07888364133333334,0.09072441499999995,0.28,0.28,0.28,0.28,0.23056540153846156,0.18051002538461539,0.14003548846153846,0.10771473499999996,0.10314085705882349,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.2559458484615385,0.24278984000000003
o2_gr_e02,C,2,0.28,0.19104311692307693,0.22658789384615385,0.24386201384615386,0.28,0.28,0.28,0.28,0.28,0.24249851692307695,0.07786428461538462,0.13358057846153848,0.11433202692307695,0.13029956230769232,0.055371314074074064,0.11981808263157896,0.2480895407692308,0.28,0.1244611830769231,0.12656134384615386,0.10718553538461541,0.12646897,0.030170639333333343,0.07033837500000001,0.12460754687500002,0.23612505000000006,0.28,0.07693857461538463,0.09863562461538462,0.10063008538461539,0.10162107000000001,0.04192460272727274,0.08476838045454543,0.11683748000000002,0.1758844884615385,0.28,0.07085492615384617,0.052805129230769236,0.0782077030769231,0.026397415333333344,0.05618410043478263,0.08455380533333337,0.10346459266666667,0.11975405357142861,0.28,0.22026855615384616,0.16324660461538462,0.12798235461538462,0.11126554384615386,0.04994742823529413,0.07104084312500002,0.09136381266666667,0.11176325812500001,0.23084822769230773,0.28,0.28,0.28,0.22145457769230775,0.22264434615384618,0.18442019307692312,0.10333022692307693,0.11844590923076924,0.21698247692307696,0.28,0.28,0.28,0.28,0.22524027461538465,0.16486717538461543,0.126425914,0.12244104500000001,0.21817460692307697,0.28,0.28,0.28,0.28,0.28,0.28,0.25020298384615386,0.22895746692307695,0.28
o2_gr_e03,C,2,0.28,0.28,0.28,0.2636578046153846,0.23154837307692308,0.28,0.28,0.28,0.28,0.11028894000000003,0.17263548384615388,0.13582767461538464,0.11340195846153847,0.09719689655172416,0.19456676615384616,0.28,0.28,0.28,0.05687338789473686,0.061413346428571436,0.05453952733333335,0.047966381428571465,0.09394189896551727,0.1489343327777778,0.2116690161538462,0.28,0.28,0.024281170526315815,0.049802113846153864,0.03090618538461541,0.039888860000000026,0.08559729407407408,0.12246004250000003,0.14428769333333336,0.26900191153846154,0.28,0.02987954076923079,0.05551124461538463,0.08145265615384617,0.03818380473684213,0.06800791272727275,0.09555508333333333,0.11296068823529415,0.1270287423076923,0.28,0.24011638692307694,0.1644899161538462,0.155789686923077,0.16231148461538464,0.10294501000000003,0.06757629705882355,0.08503896777777778,0.10713291117647061,0.1813099307692308,0.28,0.28,0.21377367923076923,0.13006411000000007,0.12841267357142858,0.114120475,0.10108605,0.10221988200000003,0.12280763384615387,0.28,0.28,0.28,0.28,0.2585541892307692,0.21591574076923076,0.15317789692307693,0.13506167705882358,0.19695182615384615,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.24954806000000002,0.28
o2_gr_e04,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.17714001230769233,0.10513661769230773,0.12778229461538465,0.05841980923076925,0.1729489261538462,0.15852959692307694,0.24248674692307695,0.18719851615384617,0.08240999384615386,0.029034565384615404,0.012887892000000015,0.0184778653846154,0.10443904615384618,0.02838444692307693,0.03232481933333335,0.04000412153846156,0.1120986276923077,0.05159937000000001,0.0917065607692308,0.22257264461538465,0.28,0.22505412615384618,0.28,0.28,0.2352353130769231,0.20463571538461542,0.11840703394736844,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.23952469769230775,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2_gr_e05,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.24586205769230768,0.17669517692307693,0.19919138230769234,0.09099715307692306,0.20310100230769232,0.20523399153846159,0.2060185761538462,0.17270969,0.24460806153846154,0.08272177461538457,0.028607581538461525,0.03103392384615383,0.018815102307692275,0.04750877538461537,0.03278070999999998,0.09475787384615383,0.049018459285714265,0.18010886538461537,0.06868407161290321,0.033876087857142835,0.042867261052631556,0.06494134551724136,0.09665307136363634,0.26877579384615385,0.28,0.28,0.14668506285714283,0.131545096,0.07348179590909089,0.08478147619047618,0.11138439388888886,0.2567085307692308,0.28,0.28,0.28,0.28,0.28,0.20979216,0.2519542953846154,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2_gr_e06,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.26883360615384616,0.1173438953846154,0.17937256000000001,0.16461145692307697,0.22236251615384617,0.20353185461538464,0.24209243384615384,0.20562168461538466,0.20807235076923083,0.05393248200000002,0.02845682461538462,0.03171039923076924,0.059201158461538464,0.027707457692307702,0.07117004307692308,0.10925744153846156,0.09474265846153848,0.10140295692307694,0.06228240962962964,0.033273999500000005,0.04572963684210527,0.06409763,0.09401555869565219,0.17586711153846155,0.28,0.28,0.22938348692307692,0.15976071692307695,0.07986582615384616,0.08936389437499997,0.11277984933333336,0.2440499753846154,0.28,0.28,0.28,0.28,0.28,0.22719126923076927,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2_gr_e07,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.24286752461538466,0.1952161923076923,0.12278646533333332,0.28,0.26782283538461543,0.28,0.28,0.2038811130769231,0.09980660235294121,0.09462814133333333,0.09541053785714289,0.10159488321428574,0.1972653307692308,0.13812658000000003,0.17482131000000004,0.2216956207692308,0.20584551000000004,0.08580730230769233,0.10855397000000001,0.08231382307692311,0.08034875482758622,0.04929220846153848,0.03119920769230771,0.07768688153846157,0.06584233923076924,0.03465809846153848,0.04504831733333336,0.05236797571428574,0.07919305461538463,0.07545088171428573,0.09996213923076926,0.12151711846153848,0.16511195000000004,0.10825659117647059,0.24791979000000003,0.16586496,0.11912607615384618,0.11074662642857144,0.10313834666666669,0.28,0.28,0.28,0.23024818461538463,0.22040232384615385,0.19903447538461538,0.1684652092307693,0.1390872946153846,0.12868152000000002,0.28,0.28,0.28,0.28,0.28,0.28,0.27058108153846155,0.24057295769230774,0.23969574230769236,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2_gr_e08,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.2278928784615385,0.17722317384615385,0.11733477333333334,0.28,0.28,0.28,0.28,0.28,0.15833937846153848,0.0842662753333333,0.08622632307692307,0.08676746695652174,0.17781632692307692,0.21916800769230774,0.16034722461538461,0.16471466153846154,0.07474579846153845,0.08233301846153845,0.07027424923076922,0.09134961307692306,0.06592006199999999,0.11190706307692308,0.011231136666666652,0.05819920615384614,0.028196231428571417,0.03169681615384614,0.07624049,0.046135409999999995,0.05581165785714286,0.05989053571428571,0.13974421076923077,0.09281576153846152,0.21868165,0.15650079384615384,0.19763308692307693,0.1667202853846154,0.10230802999999998,0.0949492407142857,0.08499263454545454,0.28,0.25620872384615384,0.21433307461538462,0.21397713923076925,0.2155100423076923,0.13628440307692308,0.12733830153846154,0.1188272907142857,0.11107543222222221,0.28,0.28,0.28,0.28,0.28,0.28,0.2688291453846154,0.23462662615384622,0.21073644769230768,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2_gr_e09,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.26684045692307695,0.22736182769230773,0.11832502799999996,0.28,0.28,0.28,0.28,0.28,0.28,0.0887539792307692,0.08748002266666663,0.09093256079999996,0.21860742230769234,0.1589086276923077,0.20017613153846156,0.22121910153846155,0.16581726153846155,0.09766226461538462,0.06994142769230768,0.11059704384615382,0.07561864266666665,0.09143695384615384,0.009774122857142825,0.015617939285714259,0.025885824615384592,0.03332797428571426,0.04053131599999998,0.10117902384615383,0.054257728571428555,0.06664421272727271,0.11962105615384615,0.15694047307692308,0.1117238869230769,0.16769203076923075,0.2399168876923077,0.1741108030769231,0.12386093076923074,0.10031038384615384,0.09030195749999996,0.28,0.28,0.2588604015384615,0.19717896384615383,0.18837297076923074,0.1435307015384615,0.1697619923076923,0.1271408923076923,0.11840082499999999,0.28,0.28,0.28,0.28,0.28,0.28,0.21037413615384615,0.20762589384615385,0.21618499538461539,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2_gr_e10,C,2,0.16862425615384619,0.1924293830769231,0.2316775607692308,0.28,0.28,0.28,0.28,0.28,0.28,0.03162399142857145,0.04730915600000001,0.07150838684210528,0.11024909307692311,0.2686200407692308,0.28,0.28,0.28,0.28,0.06257805846153847,0.03480257769230771,0.053643138636363656,0.09775203461538463,0.1304691654166667,0.15250610684210525,0.15629185000000004,0.2057737176923077,0.28,0.05722578923076925,0.06066552230769233,0.0310965717647059,0.05676619190476193,0.07729100900000002,0.09351411333333336,0.1132077404545455,0.12262610000000003,0.15314578692307695,0.029424043076923093,0.013660075714285735,0.017686645384615403,0.029047386153846173,0.039729224666666695,0.05303508000000002,0.06592751812500001,0.07733024785714286,0.09107642074074078,0.26015384923076923,0.28,0.28,0.28,0.28,0.21240774461538467,0.1949357161538462,0.11260563615384617,0.1035199782758621,0.28,0.28,0.28,0.28,0.28,0.28,0.22570419923076926,0.19554048769230772,0.16839081923076923,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2_gr_e11,C,2,0.20808643076923078,0.2298686607692308,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.03650314615384614,0.05248471800000001,0.07857807947368423,0.28,0.28,0.28,0.28,0.28,0.28,0.06463408769230769,0.03605250285714286,0.06954870535714285,0.1263575757142857,0.15292961705882352,0.16128632058823533,0.18632122,0.26002099153846153,0.28,0.07690884538461538,0.019154668461538463,0.03106470357142857,0.06052398148148147,0.07023297533333334,0.11139995692307694,0.09813691846153846,0.119496468125,0.1380084930769231,0.1114791430769231,0.009842434375000004,0.035664074615384615,0.024313402307692307,0.035978133749999995,0.04754617399999999,0.060038503846153835,0.070387496,0.087093051875,0.19951408307692312,0.18029719153846158,0.28,0.28,0.28,0.22863422615384618,0.14688848615384617,0.1748182884615385,0.11441667657894734,0.28,0.28,0.28,0.28,0.28,0.28,0.27078741923076927,0.24224625307692313,0.17761758076923082,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2_gr_e12,C,2,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.0808446307142857,0.21077940769230769,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.05312157900000001,0.08029263120000002,0.10308869722222223,0.12459026200000003,0.20171394692307693,0.1902108776923077,0.27072653538461544,0.28,0.2702208453846154,0.022366946666666672,0.03948527944444445,0.051531055000000006,0.06960013315789475,0.28,0.2689998761538462,0.28,0.2369152807692308,0.1161470323076923,0.02794841076923077,0.012557437857142861,0.03848571538461539,0.08413086076923079,0.029154050000000008,0.07364511230769231,0.05834222000000001,0.0997267407692308,0.05716903871794871,0.28,0.28,0.2264250484615385,0.2532323292307692,0.2228667161538462,0.16530519000000002,0.10943340846153847,0.13318128538461538,0.08589880142857145,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.15451459692307695,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o3_gr_e01,B,1,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.22445154,0.24000000000000002,0.18080158444444444,0.24000000000000002,0.19528876555555555,0.18091327666666665,0.22542375777777776,0.06910667000000001,0.07930458692307692,0.08654644928571428,0.08885916166666667,0.15823647333333335,0.09236547199999998,0.09178536600000001,0.09197961299999997,0.09276005285714285,0.09698314222222222,0.032912504999999995,0.040559033529411766,0.04313586333333334,0.044870324,0.054148616666666684,0.05349297428571428,0.05511778538461539,0.05824100318181818,0.10912302111111111,0.0061771069999999985,0.01199984545454546,0.018099497777777782,0.1432706211111111,0.02577453,0.028575615,0.03465646,0.03951435684210527,0.06952264444444445,0.02726154166666667,0.03346786666666667,0.04167394200000001,0.0478600075,0.049694695384615385,0.054112241538461545,0.05726902083333333,0.06092133578947368,0.06179521333333334,0.06788657374999998,0.07958751875,0.08224857999999999,0.13714805333333333,0.08606401750000002,0.08665426250000002,0.08741261750000001,0.088428985,0.2051030722222222,0.19196942888888888,0.2090677022222222,0.20906199333333333,0.22445154,0.15017571333333332,0.1360670377777778,0.1388494511111111,0.16915077999999997,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002
