File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
o2-10_gr_e10,B,1,0.009029304292500002,0.010090498666666668,0.014427336382653063,0.015999673882653064,0.02468099640000001,0.026359431060000008,0.0036916244560546894,0.004214256496666668,0.004941193028320315,0.005519174685986162,0.008693133666666669,0.007000177016601564,0.0011338131366666676,0.0027547382325000024,0.0026670558558673486,0.0028970092292387555,0.003835522933333335,0.0028227174948,0.0014566847077562336,0.0027613560416666688,0.0022372141412742397,0.0037575144322916686,0.0038092691823979614,0.002264521339229969,0.004129152412037039,0.005693695354591838,0.004662868933125001,0.005749135050925926,0.008273101020710062,0.006620619298442908,0.012238220990740744,0.013066790879629636,0.016195604800781253,0.017225494488281264,0.02114851971428571,0.049942495166666684
o2-10_gr_e11,A,0,0.0017535703125000034,0.0009242195449826994,0.002622002532548478,0.0040616296503099185,0.00612148341689751,1,0.00237812716666668,0.001371425605867348,0.0034811215605468765,0.006010200233564015,0.01486185356481482,1,0.000930452326530612,0.0014190910522959193,0.0028242110714285736,0.0060244812546296315,0.017366585203125,1,0.0011756932425000019,0.0013815743372576185,0.0030232825087809926,0.005859398881875003,0.018321906105468754,1,0.0015438076770833357,0.0021710058842592606,0.00412337205124654,0.006376992423822715,0.01653526733333334,1,0.0025977926900826462,0.002726341952908588,0.0050290102152777795,0.00837658420666667,0.012602754885416668,1
o2-10_gr_e12,B,1,0.006780474892561981,0.008701784062499997,0.009706865256198346,0.01569291338671875,0.020186469612244892,1,0.002778523157439445,0.003367770634259258,0.004223682330332408,0.0063563819501953125,0.007022932214532871,0.017751075124999998,0.0008464470115740724,0.002256212369999999,0.0017864287313019383,0.0036714495153061222,0.003608975769999999,0.0029195902293749987,0.001049439597656248,0.0018726487721893478,0.0019516992132963978,0.003725718369791664,0.0035487223624260343,0.003661546453124999,0.002498441710648147,0.004404916515624997,0.003940970564814814,0.006216902904336734,0.0062024791533333325,0.007740740605029587,0.005743860916666665,0.005966841958579881,0.010149303277777777,0.015498574760204078,0.015412499542968746,0.026442291779999995
o2_gr_e01,C,2,1,0.08026001517333332,0.021102437190082642,0.06834585072,1,1,0.006773424924218747,0.006017328424083044,0.004916461941212565,0.006713943746803306,0.043699710560661166,1,0.0020295698100346003,0.002255997338989896,0.002827469250703483,0.004528957075688886,0.010836575722167126,0.08833311756499998,0.006134973175857982,0.004201644492066114,0.004885968107377776,0.0037048652037209285,0.0054920256194999975,0.012162540805138887,0.3490450045600001,0.04179477595125,0.014136073093333331,0.007425986279327976,0.007757220525468751,0.006174227837749999,1,1,1,0.3316312787199999,0.0364601401491358,0.019422546178437493
o2_gr_e02,C,2,0.01508707066125001,0.011612746787438023,0.011466623084000007,0.008991443241183436,0.030664541752727283,1,0.005254832458750002,0.004811212390914129,0.004694242435900281,0.002924757043200986,0.011115524062351717,1,0.001686836666666668,0.0024457170472000013,0.0025034302695316826,0.004120120320000002,0.008971037200740743,0.11643039264888894,0.003084977245155559,0.0034562590510000017,0.0035834534742222265,0.005257367837469137,0.008459517795312501,0.020307879235000003,1,1,0.03958805251160495,0.019345932948125002,0.00924591790888889,0.018488505254809693,1,1,1,0.05760603688000003,0.019169684361800002,0.058727161173333355
o2_gr_e03,C,2,1,0.051388599570000026,0.012705859552711115,0.02581353413950414,1,1,0.004642188700328734,0.005277491467500001,0.004707093445617287,0.007187938425590164,0.06001504376000002,1,0.0016837122758477535,0.002916893391834323,0.003267839896483934,0.006725881061280994,0.01298078398639715,0.18269714582000005,0.0033316586800000037,0.005240488066419758,0.0049923041916049415,0.0053837277670987695,0.006381785340000002,0.017235968835900284,1,0.06243040793111115,0.016186336454214887,0.0117056338089893,0.009952196096649326,0.009882499267596259,1,1,1,1,0.03389656206611112,0.05446779352000002
o2_gr_e04,B,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0021910555155709383,0.003159167075555559,0.004677174822600002,0.005225823102644631,0.00878629072132232,0.0037846036632031275,0.0026726943493055573,0.004024373780828407,0.007402009552777784,0.008480459675371905,0.012009774560000004,0.004314424302222224,1,1,1,1,1,0.10184031350500003,1,1,1,1,1,1
o2_gr_e05,B,1,1,1,1,1,1,1,1,1,1,1,1,0.12079903577777777,0.0017504292615384567,0.00297603139272727,0.00521748623573333,0.007700744389112423,0.007118605569876542,0.006318312104999999,0.0022447122911718738,0.0027757080330026913,0.00570181457611111,0.015700225519999993,0.01982382991242603,0.007406785126995837,0.005733020482271467,0.009353058669422218,0.17644667739999997,1,1,1,1,1,1,1,1,1
o2_gr_e06,B,1,1,1,1,1,1,1,1,1,1,1,1,0.3699923987200002,0.0017401320758024703,0.0033419311775778563,0.006123004856111114,0.006976749768333339,0.007193404414933338,0.003318464875785126,0.002087062063011178,0.003086001215122874,0.005253756791111113,0.024582263343750004,0.02527072531200001,0.011539415244115227,0.006207539276610667,0.012074243410833333,0.11361674688000002,1,1,1,1,1,1,1,1,1
o2_gr_e07,B,1,1,1,1,1,1,0.07232735740160001,1,0.33393618384000007,1,0.012382581195160683,0.009797066300000002,0.0059412465371428596,0.001501707379375003,0.004493832658823534,0.00571490071053255,0.005566588670247939,0.006411415500972227,0.0038226092803840886,0.0020526001066666698,0.0034318903955678714,0.008079888810000001,0.009715252860491496,0.008224076539218753,0.005051962967744003,1,1,0.05932299296000002,0.03404400061611113,0.019138126062222233,0.014308582844852076,1,1,1,1,1,1
