File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49
o1_gr_e05,A,0,0.0028614651555555507,0.0032401133065743898,0.0036666418437673095,0.004320542199999998,0.0075166011922437655,0.010044090666666663,0.19517486399999998,0.0020487634703601067,0.002469327166863899,0.002344654755555552,0.0033266325421487573,0.006050975183999994,0.007343789546938774,0.05869512159999999,0.002261049599999993,0.0024719548444444386,0.003023899377777768,0.002799892439999995,0.007843806719999995,0.00790093467395957,0.026996529200000004,0.0006715686374999932,0.0016780863999999918,0.0033010990222222124,0.003069555583999996,0.005254351055999996,0.008730953176559543,0.021394832914285712,0.0019828934825484733,0.002596279297959178,0.002427334089795912,0.0018628415999999964,0.004178672356899809,0.005686335688888886,0.03073527820799999,0.003531778464265923,0.0047415343526627145,0.0040029230249999945,0.002842537599999996,0.005612983053061219,0.00717291580165289,0.06586663564799998,0.004360974099999997,0.005256926628571424,0.006161390044444441,0.0035547308236799965,0.003562246948760328,0.0036143741777777743,0.04508743139999999
o1_gr_e06,A,0,0.004443746255999999,0.0037783031510204073,0.004126036682041586,0.004297035871999998,0.007259708100000001,0.009015582807908432,0.07738362432,0.003761894024999998,0.0023944188239999973,0.004422321287573961,0.004166171567999996,0.006271406349999997,0.007274723594459832,0.04507031699999998,0.002942523095857984,0.002363818599999993,0.0028473917538461525,0.003640958084429063,0.0061882727183673455,0.007793902181249998,0.037108916977777774,0.0007648220678200658,0.0012307620374999969,0.0033679857777777753,0.002936960383999997,0.005108583959999996,0.007492719391999997,0.03548392177777777,0.0023377828499999962,0.0018616163624999968,0.0024750157999999943,0.0022555072757396407,0.00255048446419753,0.005220761934374999,0.042503737949999995,0.004160074799999996,0.0027213619499999965,0.004344969599999995,0.003553335138461534,0.0025327906666666633,0.004293665233919998,0.019162402649999997,0.0050036333877550975,0.003043071044234401,0.004125930839999998,0.0041990129632653046,0.0036291030477508634,0.003205392215039997,0.02340560447999999
o1_gr_e07,A,0,0.0015582632727272662,0.002130541087889268,0.005700846975999994,0.008976056831999996,0.0107731948733564,0.012274922353462598,0.05359170700799999,0.002378852639999992,0.001988440622222218,0.003405445492627596,0.0066915102959999966,0.009252867383999991,0.010992441302479337,0.031253645155555544,0.0035233284495867724,0.004347519644444436,0.0038812731656509662,0.008172857721799305,0.010793922322437668,0.01587926476401384,0.04437745038367347,0.0019029396374999953,0.005333225244444437,0.0037770283439999956,0.007791104921883653,0.011293151039999998,0.013775087067768593,1,0.0034516024615384566,0.0031139648221453252,0.0038640992499999966,0.006732257955839998,0.011296389838016526,0.017181280355555547,1,0.004360801199999994,0.004425833093877545,0.005514387377285317,0.009052553599999999,0.014841024799999996,0.0267436982,1,0.0024318496999999975,0.003507290894517956,0.0039884615252595125,0.005968478634915995,0.008933822308650514,0.030889244350413205,1
o1_gr_e08,A,0,0.0038047575999999948,0.005033327999999995,0.0037507224000000007,0.0081648837,0.007146614016,0.009827880888888887,0.0154829799,0.0014762995999999984,0.0021221018,0.002361047962499999,0.003244565924999999,0.0045876088125,0.005002077743999999,0.008434735875,0.002321564800000003,0.0023333827555555545,0.0028090429999999976,0.004038737023999999,0.005735549587499998,0.007448051377777777,0.013219175119526624,0.0006621625245674743,0.0019923930446280958,0.0026428551749999997,0.0050153843249999995,0.0070786199584775104,0.009851158687889272,0.018627520581818182,0.0025393481467455604,0.002613110106122449,0.0028209453714285707,0.005004673436734693,0.006740189598487712,0.009613262759183675,0.03321529214693877,0.0032179796999999995,0.0041900682035502955,0.00429391031135734,0.007102609568975067,0.012100723762499998,0.0127980576,0.028815694577777766,0.00327856628736,0.0032751357234567903,0.0032380597695290847,0.005073527044444444,0.0073715284628099184,0.008177605760553631,0.14168501279999993
o1_gr_e09,A,0,0.0035710381487603264,0.004209023231999995,0.004049663399999998,0.006414466488888882,0.008571883949999996,0.007365449375999997,0.010384821818181815,0.0021487139265306088,0.0026844899999999973,0.0032157393999999984,0.0022758701061224465,0.004629366271999996,0.00459762729307479,0.006290668480886426,0.002206590599999997,0.0026307761777777726,0.003306604444444439,0.003109927162499996,0.005230572862499996,0.006934651648442903,0.010371701631999995,0.0007676127111111085,0.002146126968595037,0.002819083444897957,0.003786874982825481,0.006387696444444442,0.008227600593905815,0.019266766559999995,0.0021556301624999974,0.0028325477999999976,0.002725631567999998,0.004403952549999998,0.007571293847999999,0.009003287902040814,0.02475587093333334,0.0030089206124999965,0.003201912319999997,0.004526968088888886,0.006584509322448979,0.010121057710803322,0.012479656266666668,0.061748270999999987,0.002743421783039999,0.003070799531360945,0.003369038022222222,0.004686897113999999,0.00794694040707596,0.009378335463495834,0.09084423999999998
o1_gr_e10,A,0,0.004583877486980613,0.00503737965714286,0.005815952522448981,0.006926865586703603,0.008477029296000001,0.012007891864819951,1,0.003113282232000003,0.0041506912125000035,0.004128355146814408,0.005674309947922443,0.0071338108723200035,0.013986099288888892,1,0.003116240400000007,0.0031086696142011874,0.0034753154625000037,0.005389128751020411,0.00834622381065089,0.014574125573553724,1,0.0008618378666666705,0.003704054400000006,0.003354450750000004,0.0057904909884297535,0.00997817060415879,0.014686241057851242,1,0.002411018302040822,0.0027084542000000056,0.002443835067768598,0.004677141722495276,0.007017282708480002,0.00913670044444445,1,0.003286551365680478,0.0035286397884297573,0.004118047523875436,0.007917466500000005,0.010165326328027682,0.013258099831141875,0.12319729199999999,0.0033033691125000045,0.002401182922314053,0.0033736273382716088,0.006375651937996223,0.010630955111111114,0.012401229155555556,0.041666016
o1_gr_e11,A,0,0.0051845876628099224,0.002491182624793392,0.004597925584487538,0.005643338400000003,0.008027138626560003,0.014577524784000002,1,0.003625213518367352,0.0023073405120000033,0.0041440767111111144,0.005541914737190086,0.006571457773714288,0.020307095775000006,1,0.0034879843102040855,0.0033656538000000047,0.004269677824000005,0.0067639418122449,0.008184453555555558,0.07734701376000003,1,0.0010354817771626335,0.001771800187500004,0.0036164950256055398,0.005347685104132234,0.01222187185541023,0.056067663149999995,1,0.0028019948625000036,0.00235519060387812,0.003838066704000003,0.0053270199008264504,0.009689029790625,0.04281220017777778,1,0.0032314961920000044,0.003481887375000004,0.005476438470914129,0.0076709032704000025,0.015266268099722986,0.035581379328000005,1,0.003906522884429069,0.003074082370560003,0.0038080191813002215,0.0075598033655172436,0.012245652950000005,0.023327662848,1
o1_gr_e12,A,0,0.003847453312000001,0.0033477276781065115,0.0027782889750000025,0.0035911508889599998,0.007246429519526627,0.024902218079999996,1,0.002233403821487604,0.002682481000000003,0.0025847436375000016,0.0036880718000000022,0.00614618285625,0.016369892396675908,1,0.002338330162500001,0.003188184533333336,0.003452174800000002,0.005062631644444446,0.00878247506994329,0.0194598340875,1,0.0007064720925619854,0.002303908363636364,0.0034316258000000022,0.005124056711111113,0.008109613000000003,0.015205993055999996,1,0.0023953102222222236,0.002927806400000003,0.0025969207141868515,0.0038860219463138007,0.006798701950295858,0.009669572819753088,0.15395840640000003,0.004510905208163267,0.0032737123102040844,0.0038915039250000012,0.0056882022750000035,0.006422803735537192,0.010262172600000001,0.0357737460244898,0.0036531722975206623,0.00342614713469388,0.0036979611494400008,0.00465708210612245,0.006710163992438564,0.009850660573961223,0.019545202591735537
o2-01_gr_e01,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0027988031676575535,0.004110003590000004,0.005099002545454549,0.005410042623818531,0.0068508852063492096,0.01082435395555556,0.017687073360000014,0.009367802164609054,0.06635032800000001,1,1,1,1,1,0.20640597450000006,1,1,1,1,1,1,1,1,1,1,1,1,1
o2-01_gr_e02,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00287628555281207,0.0038555738321995447,0.004774545716446124,0.005599738727272727,0.008518568235294116,0.010615224296874996,0.017723056560000002,0.007345512198385237,0.010858261566568043,0.01904510216489796,0.1264838412244898,1,1,1,0.02785363533333333,0.15107417952,1,1,1,1,1,1,1,1,1,1,1,1
o2-01_gr_e03,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0020037991758034023,0.003545022656804733,0.005990718421874999,0.005140860876799998,0.012710151972222222,0.010794928711111111,0.029635179444444437,0.016547747218749995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o2-04_gr_e04,D,3,1,0.04367756209444446,0.012101990918181819,0.012433356612571427,0.0851700047714286,1,1,0.022032514281656798,0.010124467558333334,0.008767763323958334,0.010329077155555554,0.10180679366666666,1,1,0.007598960847916669,0.007144497306995884,0.004952418072359964,0.008268963655843198,0.08667239302857144,1,1,0.0011303662825484736,0.0018052474606310002,0.004706723659215218,0.008074244227127093,1,1,1,0.002962650496566076,0.0039215719229166645,0.005089618008695652,0.007435172934979426,1,1,1,0.008157726619840001,0.0086529296245,0.006879058828571427,0.00743990624275148,1,1,1,0.11035654839999999,0.022600743908641974,0.010402882188927336,0.011700700628571425,1,1,1
o2-04_gr_e05,D,3,1,0.08573495793333331,0.016760162387499996,0.012030916514600554,0.04095331207142858,1,1,0.021165234193055552,0.013462102655555553,0.011996840074792247,0.008754279860317463,0.031316821182716045,1,1,0.011472851949999995,0.008167495791304345,0.006576494847337277,0.006953772161839998,0.030445120069252072,1,1,0.0013651683584775048,0.002611114982608693,0.004535535144082838,0.007351496128862973,0.04504906704142012,1,1,0.003858458451555552,0.0036107596499999977,0.006116684426086955,0.0071770762231449445,0.059224994388,1,1,0.005506664271879284,0.009213137013499996,0.010112767741999998,0.009077051792767916,0.06653272843950617,1,1,0.017918222231404955,0.014955344668444443,0.014393763559169544,0.008867204905478453,0.08506661451428572,1,1
o2-04_gr_e06,D,3,1,0.07490408364444445,0.01766473461183432,0.014880854555621303,0.0434256404035503,1,1,0.020809915023140484,0.012182091833333332,0.010595507402770082,0.009050255044250001,0.02815629212200001,1,1,0.010485136446093748,0.008995442473499997,0.007942139740499999,0.006656117146355687,0.023231788042361114,1,1,0.0011708382129629624,0.002320410413439999,0.004959186133884296,0.006733345857291666,0.03145232434814815,1,1,0.0036781056260869554,0.003774928753555555,0.007138194294736842,0.007843424970634918,0.031421285535802465,1,1,0.008116131381119999,0.009959374443801657,0.010278884,0.008299547081875,0.03281924065121107,1,1,0.08377725159999996,0.028213799807407403,0.01326046913462604,0.008774473638734568,0.01650725417419355,1,1
