File,Class_GT,Class_GT_n,M1,M2,M3,M4
o5_gr_e03,B,1,0.03623146689169778,0.04895918677774792,0.04015387652554497,0.04455412620752986
o5_gr_e04,B,1,0.03263113362287065,0.07123970069419727,0.03153855962403833,0.061962948117913835
o5_gr_e05,B,1,0.027234623165795245,0.06639137375705456,0.03701930284444444,0.060370425229853995
o5_gr_e06,B,1,0.03000239296587084,0.06512117235199999,0.03706920485907611,0.05248926060267856
o5_gr_e07,C,2,0.03254429980468749,0.029286653946272414,0.03286376321995465,0.25032248513674193
o5_gr_e08,B,1,0.03322325826000816,0.04778675700015526,0.03865275663265308,0.04500095986220158
o5_gr_e09,B,1,0.03444659643487025,0.05196914229947403,0.03581354514443317,0.0566072566655125
o5_gr_e10,B,1,0.030363526482571308,0.05726997460458903,0.028812023004468057,0.05188908270408164
o5_gr_e11,B,1,0.032932044598231465,0.06735601687486302,0.02797502899459524,0.050427492004864675
o5_gr_e12,C,2,0.055451825633270294,0.04854678268809348,0.023452235650969523,0.0723900653277932
