File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1_gr_e05,A,0,0.01596467139999997,0.022607851016949124,0.04423463223880593,0.12771956651162789,0.01871360046511625,0.012018967333333307,0.03818811949999998,0.09253439624999996,0.01216606155555553,0.018087771860465084,0.03035239508196719,0.08593669737704919,0.03253149637931031,0.03208654593220336,0.028126055079365036,0.0527251008695652
o1_gr_e06,A,0,0.02559369793103447,0.03146795402985073,0.055471105342465715,0.10740065593220335,0.009731305714285692,0.013739307499999982,0.04266823388059698,0.09653333430769229,0.010591066521739112,0.049792658837209285,0.02564042098360654,0.0779501446153846,0.021671360204081613,0.02529592865384613,0.02168036107142856,0.037247281136363615
o1_gr_e07,A,0,0.009337264999999973,0.030793811428571398,0.06127146120689654,0.10555728790697674,0.018370316744186023,0.029827643888888863,0.06843616640624997,0.11502144488372087,0.0268049006976744,0.03618226754385963,0.08118509888888889,0.17843657139534883,0.022426668833333316,0.05063693397590359,0.09755614172839502,0.22231871023255814
o1_gr_e08,A,0,0.08689776186046512,0.07508615372093023,0.04020580023255814,0.05413567139534884,0.02897094232558139,0.02529596697674418,0.03307586471698114,0.055447884375,0.0108509576744186,0.023551450943396224,0.05067743186440678,0.09920832883720931,0.026675669117647058,0.04290110399999998,0.07666634333333334,0.09359997255813954
o1_gr_e09,A,0,0.06223978953488371,0.02647536558139534,0.05464444023255812,0.04056833116279069,0.02439728790697673,0.013043055813953474,0.03073823374999998,0.04979285652173913,0.021904596744186034,0.0219313018181818,0.04913967612903226,0.08218785627906976,0.02252896904761904,0.04262478477272728,0.0768494382142857,0.11301409325581394
o1_gr_e10,A,0,0.028897633559322063,0.03741460338983052,0.059031935652173934,0.17368852604651164,0.017406803255813976,0.023528157241379327,0.07225047487179485,0.1725801923255814,0.04361718372093026,0.022719359074074102,0.06178543027777782,0.1409017776744186,0.016756077111111135,0.0311778117910448,0.061893961071428596,0.12835127953488376
o1_gr_e11,A,0,0.017819018541666686,0.03145321123076925,0.07286235710843378,0.18407827209302327,0.011994359791666685,0.027052900350877217,0.09690991191919192,0.24702665906976745,0.014026796122449002,0.03461831123076925,0.10484140195652177,0.2470625104651163,0.022042206071428594,0.04976257592592596,0.09612887956521739,0.20613432837209303
o1_gr_e12,A,0,0.017204314999999998,0.01838784964912282,0.06506540876404496,0.23153719302325582,0.009818449166666673,0.017855171458333343,0.06577197297297298,0.1803045146511628,0.013278838913043494,0.01868962918367348,0.05717736303030302,0.10972107674418606,0.02443089584905661,0.03125805343283582,0.051496825441176466,0.1006553027906977
o2-01_gr_e01,B,1,0.28,0.28,0.28,0.28,0.2196391166666667,0.1993730625757576,0.20417356090909095,0.24637695242424246,0.0840446309782609,0.22948716803030306,0.20887615090909095,0.2369911546969697,0.28,0.28,0.28,0.28
o2-01_gr_e02,B,1,0.28,0.28,0.28,0.28,0.2270178672727273,0.20262441666666667,0.2077179878787879,0.2246250122727273,0.09024886063380279,0.1280847294117647,0.22813230030303036,0.2515903406060606,0.2597840925757576,0.28,0.28,0.28
o2-01_gr_e03,B,1,0.28,0.28,0.28,0.28,0.138390535,0.22160791666666668,0.23524690151515154,0.28,0.09363609424242425,0.2333070722727273,0.20123321666666666,0.2214313866666667,0.28,0.28,0.28,0.28
o2-04_gr_e04,D,3,0.18820559732142858,0.09083870376470587,0.1778518698214286,0.28,0.04897700085714284,0.07094523009615385,0.19332080446428573,0.28,0.027251479499999988,0.07071295696721312,0.20316149589285715,0.28,0.14116125821428574,0.06745864051948051,0.22828034375,0.28
o2-04_gr_e05,D,3,0.21139333464285714,0.0855594263380282,0.15402727328358207,0.28,0.06125269285714284,0.06209187931034478,0.1522591313846153,0.28,0.02302755615384613,0.05858143737373735,0.15390826378378378,0.28,0.06635973999999997,0.07241355233333333,0.14587182910714283,0.28
o2-04_gr_e06,D,3,0.20880161071428574,0.08081590375000001,0.15560269887096773,0.28,0.061266096607142835,0.05767901378048777,0.14935749426470588,0.28,0.029705731898734163,0.05288315808988762,0.14652725352941182,0.28,0.14715392624999998,0.08208467,0.13532837298850575,0.28
o2-07_gr_e07,B,1,0.11574192363636363,0.12929478303030303,0.12830553151515153,0.13728717333333332,0.045611558392857146,0.04948168525423729,0.05876277112903225,0.05349548773584904,0.026438937631578938,0.03772176803921568,0.04882596480000001,0.06095918098360655,0.08617172363636363,0.08724278939393938,0.09797432757575758,0.11049790363636361
o2-07_gr_e08,B,1,0.12094632242424243,0.13806521878787878,0.13091850606060607,0.12579111636363638,0.04218581639344263,0.05533727305084747,0.06009989711864409,0.05691510859375,0.04110209340000001,0.044293174000000005,0.05323612655172415,0.0574484487878788,0.1187157809090909,0.11669573181818181,0.11754574363636365,0.11531510696969699
o2-07_gr_e09,B,1,0.1388806093939394,0.14659437393939395,0.1392006509090909,0.13454978848484844,0.04796409772727273,0.06145851346153847,0.0688305001724138,0.0634764417948718,0.04919757000000001,0.04198398244444445,0.05293540773584906,0.06612144666666667,0.1204831412121212,0.10732029363636364,0.11241728606060605,0.10353968303030305
o2-10_gr_e10,B,1,0.0646249375862069,0.0618613675862069,0.0790616606896552,0.09427903310344829,0.019441646764705892,0.027078149032258074,0.036159681621621635,0.0454886908888889,0.023077351621621632,0.03104423256410257,0.03706642806451613,0.044775556730769245,0.06589558655172414,0.07037431758620691,0.08135007620689656,0.09763710103448275
o2-10_gr_e11,A,0,0.048566947586206895,0.025080840238095252,0.058628021875,0.10828572310344828,0.049416400689655166,0.028633864324324333,0.06771977783783786,0.11866521379310344,0.010187695312500012,0.03489659886363636,0.07316780761904765,0.12,0.018610805666666678,0.04482619404761906,0.07679452138888888,0.11505033827586207
o2-10_gr_e12,B,1,0.03988938387096772,0.05428110586206894,0.07799869103448273,0.10757793241379308,0.014276737647058807,0.025908432820512806,0.03885686687499999,0.03961572216216214,0.014238254062499983,0.024693098499999983,0.03344290275862066,0.0368501512121212,0.03637814838709677,0.052911225862068936,0.07421685068965515,0.08872289379310344
o2_gr_e01,C,2,0.20718910951219513,0.07847980048780487,0.17346819853658538,0.28,0.0434836030588235,0.04467176024691356,0.11687228966386555,0.21913432902439026,0.11530048585365853,0.06871688629032256,0.07024202844444441,0.0912627109333333,0.28,0.26408789292682927,0.16660993682926828,0.10415010632653057
o2_gr_e02,C,2,0.14031068512195125,0.09852610560975612,0.07450909222222223,0.24937923731707318,0.017975142093023262,0.027771677966101704,0.08092201558823528,0.18227357024390245,0.13940708902439025,0.04699755204081634,0.07680846015151511,0.11075310822222222,0.28,0.2693206097560976,0.16215209390243904,0.14271501463414635
o2_gr_e03,C,2,0.14640794682926833,0.06693698116279073,0.13280353560975616,0.28,0.03470506708333336,0.05105948855555558,0.12130945423913043,0.23922063390243908,0.14659640341463417,0.07979201396825399,0.08722896154761907,0.10850505900000003,0.28,0.2697510107317074,0.18676014219512196,0.14692090682926834
o2_gr_e04,B,1,0.28,0.28,0.28,0.28,0.08212935219512198,0.11641432317073172,0.13418223268292684,0.04829406780487808,0.07230170414634148,0.18226738219512198,0.1667071324390244,0.1009388830263158,0.28,0.28,0.28,0.28
o2_gr_e05,B,1,0.28,0.28,0.28,0.28,0.13086243658536587,0.1135412836585366,0.14554369536585368,0.07680397243902438,0.05128715817204298,0.07686717623376624,0.20598292414634148,0.11319698437500002,0.19451424268292683,0.28,0.28,0.28
o2_gr_e06,B,1,0.28,0.28,0.28,0.28,0.1232239117073171,0.1372337929268293,0.14796592536585368,0.05371013040000002,0.0547148763541667,0.07756669154761907,0.22771112195121954,0.15349049487804878,0.23292540195121955,0.28,0.28,0.28
o2_gr_e07,B,1,0.28,0.28,0.24041209902439029,0.14627544804878048,0.09766271121951223,0.16787548414634149,0.06964115469696971,0.0802451577894737,0.08116485243902441,0.08230683477272728,0.10628788333333333,0.10357858440476196,0.28,0.28,0.2739170378048781,0.23182261487804884
o2_gr_e08,B,1,0.28,0.28,0.2507281629268293,0.12886704000000002,0.13579230390243902,0.11295194024390244,0.0534528081355932,0.06741172364583334,0.08621394243902439,0.08782258166666666,0.09987499307692309,0.0877915475824176,0.28,0.28,0.2626624080487805,0.20162129780487806
o2_gr_e09,B,1,0.28,0.28,0.27576404707317076,0.1277442002439024,0.11616524731707316,0.14226099707317072,0.07113341024390242,0.072935667184466,0.08133020463414632,0.09273499211538462,0.10246635687499998,0.0926695052631579,0.28,0.28,0.2546264414634147,0.19886086951219514
o2_gr_e10,C,2,0.042467273518518533,0.09518986468085108,0.26292398463414635,0.28,0.020562168333333353,0.06529566653061226,0.10484961888888887,0.11435308260273969,0.157306996097561,0.19417788585365856,0.1459026302439025,0.11086126244186047,0.28,0.28,0.28,0.28
o2_gr_e11,C,2,0.04726665583333333,0.1506401146341464,0.26470242585365855,0.28,0.019541510943396227,0.07147084535714285,0.1078549075324675,0.10252230683333327,0.13766819756097562,0.17983291731707318,0.13733209609756097,0.11239441034482754,0.28,0.28,0.28,0.28
o2_gr_e12,C,2,0.13138201853658538,0.2677899497560976,0.28,0.28,0.04400153729411766,0.07560218178571426,0.1451876941463415,0.07290513000000003,0.17585094804878051,0.1672448268292683,0.11284242024390245,0.08200875150537631,0.28,0.28,0.28,0.28
o3_gr_e01,B,1,0.22127276899999998,0.21912055125,0.20949184499999998,0.20310928575,0.04315949295081969,0.05414101733333332,0.057439391272727264,0.06311206205882351,0.03922458661290323,0.05114731083333335,0.0575757119642857,0.06104938985915494,0.19061980399999998,0.19358793049999998,0.17121508400000002,0.187293717
o3_gr_e02,B,1,0.22665384025000002,0.21337955125,0.21292508075,0.21325809825,0.04382022696428573,0.053776908852459046,0.06229104467741939,0.06298101910447763,0.04058664900000002,0.054206277377049215,0.0633592664912281,0.0668101653947369,0.2149256695,0.20323985549999998,0.19342637375000002,0.18241070699999998
o3_gr_e03,B,1,0.20854810375000002,0.218444824,0.2113380435,0.20839993424999997,0.040488191714285734,0.05087820355932205,0.056554946206896585,0.06549325355932205,0.04481084730158731,0.053121704166666686,0.05942474666666671,0.05621483530303035,0.22307829050000003,0.20627544025,0.1836326035,0.1704543415
o3_gr_e04,C,2,0.058463499268292696,0.131306595,0.22985723950000003,0.24,0.02561916300000001,0.059355174756097556,0.09583126974025973,0.10708961225000002,0.04805608999999999,0.05690457419354839,0.055081347903225816,0.059973600138888875,0.23662500124999997,0.22631459250000002,0.19491051774999998,0.10418357975
o3_gr_e05,B,1,0.1142970335,0.15339683675,0.17875994075,0.193572842,0.02428978509433963,0.03680436224489796,0.04997703530612246,0.059184025399999986,0.05990459722891565,0.06919654459016393,0.06258333675,0.050836203220338966,0.24,0.23147192099999997,0.22856189975000002,0.23158853124999998
