File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o2-04_gr_e05,D,3,1,0.3141793376,0.17233965007716046,1,1,0.20673296712802763,0.15082246579417008,0.14083885124218867,1,1,0.03226186888657642,0.06274680999999997,0.12598500688322659,1,1,0.07414497778925615,0.10138045604914929,0.13286181926278243,1,1,0.21274955612244892,0.20271869551020408,0.1751437886390532,1,1
o2-04_gr_e06,D,3,1,0.31356627892561967,0.19778680776014113,1,1,0.1929768668503213,0.14054395954788818,0.14000631281250003,1,1,0.029405657777777757,0.05722674239999995,0.12510609024221453,1,1,0.08252549223372777,0.09530359950160196,0.1374650143270843,1,1,0.5894857633136094,0.25626283888888896,0.14258593113083498,1,1
o2-07_gr_e07,B,1,1,1,1,1,1,0.15040702419753085,0.16283998295454544,0.20342933062499996,0.20779403506208907,0.2710856864,0.03998373666666665,0.06401904994797086,0.09663915943877549,0.12854516715976327,0.10434987301587301,0.14833669441141492,0.14975828027681654,0.1994672746730083,0.21563910093652444,0.20580062527392248,0.4627445,0.6079058639053255,0.6584059940828401,0.6591335459183673,0.9285574958677686
o2-07_gr_e08,B,1,1,1,1,1,1,0.1489746088435374,0.17074917200413223,0.19259265929705224,0.2066195292570678,0.23838908996539793,0.04718009693877556,0.05941236639118463,0.09803646428571432,0.10328297222222228,0.09275620497566255,0.17565301003086425,0.18717326938775522,0.18869926080246913,0.2029500351020409,0.18946253517422756,1,1,1,0.8766850555555558,0.9706788181818184
o2-07_gr_e09,B,1,1,1,1,1,1,0.2626812496570645,0.21312698750000003,0.2606984992283951,0.21613000226757378,0.1813612479338843,0.05716037755102042,0.06050206795224978,0.0933632277777778,0.13039732270408164,0.09318684229263086,0.5456906700000002,0.15601802204081638,0.192778551882461,0.22955161394380852,0.15924637639369477,1,0.7506921458333333,0.8529529917355373,0.8161698472222223,0.8360585902777778
o2-10_gr_e10,B,1,0.3846829881656806,0.3499095377777779,0.5558639173553721,0.6833051500000002,1,0.13941012750000004,0.13415320800000002,0.16584181804733733,0.21295205381944446,0.25320500567107745,0.040408151927437665,0.06808509710743806,0.10306925761772859,0.10632261631944448,0.10055240046296296,0.15560959504132235,0.1672943808,0.18387477218934917,0.22295868431001892,0.21404873936899863,0.4687936923076923,0.42285023046875003,0.5316847806122451,0.5456982133333333,1
o2-10_gr_e11,A,0,0.041367259259259305,0.06811672933884302,0.13677732888888888,0.21949615666666666,1,0.05764411111111117,0.07770360680529304,0.17269417146776406,0.3906459113573408,1,0.034886851562500036,0.07547984319526628,0.1762064161712248,0.44319910493827164,1,0.05952387962962969,0.11087267840000004,0.2154012618343196,0.45040498148148167,1,0.09614797839506178,0.12912915912208509,0.2376927899408284,0.3662410604914934,1
o2-10_gr_e12,B,1,0.26610233984374987,0.32267142187499986,0.41058885546874985,0.6519499027777778,1,0.08751454719999993,0.12079347041420113,0.1660848565088757,0.1973756403061224,0.36827943877551006,0.029635411157024717,0.056193015873015825,0.087962827664399,0.10292434404536858,0.12192716319999995,0.12178196604938263,0.1393174674999999,0.17843437603305778,0.20037160491493378,0.3030182304687499,0.18660728999999993,0.23948072022160655,0.4051627653061223,0.4526408577777776,0.9265937499999998
o5-01_gr_e01,B,1,1,1,1,1,1,0.27305510101010105,0.20053668552812068,0.2698589743209877,1,1,0.0461147831968672,0.05363302355644929,0.09968890817263544,0.09215504142011832,0.3290784027777778,0.38801184876543215,0.24889927891156458,0.2964306639883126,0.36232131666666667,1,1,1,1,1,1
o5-01_gr_e02,B,1,1,1,1,1,1,0.30716391495198897,0.2258686033057851,0.2537342562358277,0.3445476432818074,1,0.04659563890045814,0.05555103447214525,0.08485372417522984,0.08057749270202919,0.4154219399999999,1,0.38481603999999997,0.2601623076543209,0.435605641723356,1,1,1,1,1,1
o5-01_gr_e03,B,1,1,1,1,1,1,1,0.41406847569444444,0.2840751262327416,0.442691853305785,1,0.04269459404958673,0.057545384425977196,0.09034073639455777,0.0791587162629757,0.3084938622448978,0.469495722222222,0.2364632431249999,0.27177393625,0.3475283538062283,1,1,1,1,1,1
o5-04_gr_e04,D,3,0.0921448253061225,0.10831972178259064,0.2540002385694885,1,1,0.06798097978596918,0.10323267863894146,0.3099124366448543,1,1,0.0391288448000001,0.10462935356652955,0.49288863333333344,1,1,0.08055670486111122,0.11701202607709756,0.4704264363852558,1,1,0.12460530555555568,0.17116623250000018,0.6052018163265308,1,1
o5-04_gr_e05,D,3,0.035958660408163305,0.09237369096209916,0.38527416290130806,1,1,0.07104712018140595,0.09111322258979206,0.2591797006051976,1,1,0.03269141426611802,0.10215994598765435,0.2372205888216448,1,1,0.07253177288941742,0.1050720555555556,0.1933379933035715,1,1,0.16949130859375008,0.1632525419501134,0.31615061242603554,1,1
o5-04_gr_e06,D,3,0.034461068672839545,0.11691631396484373,1,1,1,0.05577583364839326,0.09990908218549133,0.47380646885813144,1,1,0.0398383239644971,0.12039597080811676,0.5562919396433472,1,1,0.08245679200000007,0.11336601003086423,0.2913788207644628,1,1,0.14375548753462614,0.19220971428571434,0.36547681852551994,1,1
o5-07_gr_e07,B,1,0.7115334691358024,0.5583344861111113,0.6663595950413224,0.8575724444444446,1,0.14787781804733724,0.18362237190082642,0.2168637582644628,0.29562266204986154,0.4175555969387754,0.04449936111111108,0.06751993999999995,0.13130803515625,0.19086717346938772,0.13653116824196596,0.17223460185185183,0.15929466322314048,0.18902057617728532,0.21435382698961936,0.16466635727788276,0.5663151404958677,0.42697318666666667,0.4517845918367347,0.48353796449704145,0.4428681377551021
o5-07_gr_e08,B,1,1,0.4844647647058824,0.7593361735537187,0.81442049,0.5202099140625,0.2776052698961937,0.1845817396449704,0.23646483900226753,0.3072722629757784,0.19599169678953626,0.07060698269896189,0.06374377430555554,0.12801550781249998,0.18521633727810644,0.10923842999999997,0.10045373724007556,0.10895724099722988,0.22242018999999993,0.17639627083333329,0.11344834782608693,0.3218521,0.19061805333333334,0.2968792222222222,0.30484184374999995,0.20075226627218928
o5-07_gr_e09,B,1,1,0.554227852071006,0.9510558124999999,1,1,0.21712932199546478,0.1721856286982248,0.2877361604938271,0.30573142382271457,0.2570141354166666,0.053839339100345954,0.06406552479338838,0.15151131999999992,0.15775799074074068,0.14147140532544375,0.2540712152777776,0.14846497278911552,0.2259992977777777,0.20152035185185174,0.14046723222222218,0.6237277654320986,0.2955607438271604,0.5086106776859503,0.5265679669421486,0.3385316172839506
o5-10_gr_e10,A,0,0.31904213580246904,0.33476513580246914,0.32335823,0.4319154375000001,0.26026448888888887,0.15399855371900828,0.12849571875,0.18259194387755098,0.3799318593749999,0.22856695111111106,0.04419943750000001,0.09597663636363632,0.1455001597222222,0.23607108999999996,0.21663340277777776,0.09880825333333332,0.1206049349112426,0.15601098611111103,0.2636256562499999,0.197198048611111,0.18651090909090903,0.22657298765432093,0.1862380946745562,0.2159942569444444,0.1960031479591837
o5-10_gr_e11,A,0,0.16496983471074358,0.15587709374999983,0.339842423611111,0.4636508749999998,1,0.0834524177777776,0.12240212890624984,0.1910381512345678,0.36454757396449683,0.43748679591836725,0.03579466115702459,0.09561415384615368,0.15317503571428548,0.19155974218749994,0.2409077962962962,0.08389605785123942,0.09303293055555532,0.1277140833333331,0.2274127160493825,0.13359131972789107,0.12481973999999979,0.11180628395061697,0.08982621938775495,0.10922944378698202,0.12956730222222207
o5-10_gr_e12,A,0,0.17795545000000018,0.16821150390625014,0.3919990413223142,0.40422480444444453,1,0.08373192000000013,0.12890074609375018,0.19254140720221616,0.2875217617728533,0.5445116479591837,0.03602142148760353,0.0911934533333335,0.17983653254437887,0.1607034739229026,0.3784998343195268,0.08805501000000021,0.09334905555555569,0.11002916568047356,0.21814834567901262,0.13374089583333343,0.10745864583333355,0.08381812426035523,0.12485483950617304,0.11821970000000025,0.08671607291666676
